,Rk,Player,Year,Age,Draft,Tm,Lg,G,GS,Att,Yds,Y/A,TD,Y/G,RECTgt,RECRec,RECYds,RECY/R,RECTD,RECY/G,RECCtch%,RECY/Tgt,TotYds,TotTD,TotY/G,MVP
366,367,Darren McFadden\McFaDa00,2010,23,1-4,OAK,NFL,13,13.0,223,1157,5.19,7,89.0,61.0,47,507,10.79,3,39.0,77.0%,8.31,1664,10,128.0,0
367,368,Antowain Smith\SmitAn00,2001,29,1-23,NWE,NFL,16,15.0,287,1157,4.03,12,72.3,28.0,19,192,10.11,1,12.0,67.9%,6.86,1349,13,84.3,0
368,369,Chuck Foreman\ForeCh00,1976,26,1-12,MIN,NFL,14,14.0,278,1155,4.15,13,82.5,,55,567,10.31,1,40.5,,,1722,14,123.0,0
369,370,Ladell Betts\BettLa00,2006,27,2-56,WAS,NFL,16,9.0,245,1154,4.71,4,72.1,64.0,53,445,8.4,1,27.8,82.8%,6.95,1599,5,99.89999999999999,0
370,371,John Riggins*\RiggJo00,1979,30,1-6,WAS,NFL,16,15.0,260,1153,4.43,9,72.1,,28,163,5.82,3,10.2,,,1316,12,82.3,0
371,372,Sammy Winder\WindSa00,1984,25,5-131,DEN,NFL,16,15.0,296,1153,3.9,4,72.1,,44,288,6.55,2,18.0,,,1441,6,90.1,0
372,373,Leonard Fournette\FourLe00,2019,24,1-4,JAX,NFL,15,15.0,265,1152,4.35,3,76.8,100.0,76,522,6.87,0,34.8,76.0%,5.22,1674,3,111.6,0
373,374,Curtis Martin*\MartCu00,1996,23,3-74,NWE,NFL,16,15.0,316,1152,3.65,14,72.0,52.0,46,333,7.24,3,20.8,88.5%,6.4,1485,17,92.8,0
374,375,Chris Carson\CarsCh00,2018,24,7-249,SEA,NFL,14,14.0,247,1151,4.66,9,82.2,24.0,20,163,8.15,0,11.6,83.3%,6.79,1314,9,93.8,0
375,376,Bobby Humphrey\HumpBo00,1989,23,1-3,DEN,NFL,16,12.0,294,1151,3.91,7,71.9,,22,156,7.09,1,9.8,,,1307,8,81.7,0
376,377,Josh Jacobs\JacoJo01,2019,21,1-24,OAK,NFL,13,13.0,242,1150,4.75,7,88.5,27.0,20,166,8.3,0,12.8,74.1%,6.15,1316,7,101.3,0
377,378,Fred Taylor\TaylFr00,2006,30,1-9,JAX,NFL,15,15.0,231,1146,4.96,5,76.4,28.0,23,242,10.52,1,16.1,82.1%,8.64,1388,6,92.5,0
378,379,Steven Jackson\JackSt00,2011,28,1-24,STL,NFL,15,15.0,260,1145,4.4,5,76.3,58.0,42,333,7.93,1,22.2,72.4%,5.74,1478,6,98.5,0
379,380,John Brockington\BrocJo00,1973,25,1-9,GNB,NFL,14,14.0,265,1144,4.32,3,81.7,,16,128,8.0,0,9.1,,,1272,3,90.8,0
380,381,Chuck Muncie\MuncCh00,1981,28,1-3,SDG,NFL,15,14.0,251,1144,4.56,19,76.3,,43,362,8.42,0,24.1,,,1506,19,100.4,0
381,382,George Rogers\RogeGe00,1983,25,1-1,NOR,NFL,13,12.0,256,1144,4.47,5,88.0,,12,69,5.75,0,5.3,,,1213,5,93.3,0
382,383,Ray Rice\RiceRa00,2012,25,2-55,BAL,NFL,16,16.0,257,1143,4.45,9,71.4,83.0,61,478,7.84,1,29.9,73.5%,5.76,1621,10,101.30000000000001,0
383,384,Charlie Garner\GarnCh00,2000,28,2-42,SFO,NFL,16,15.0,258,1142,4.43,7,71.4,94.0,68,647,9.51,3,40.4,72.3%,6.88,1789,10,111.80000000000001,0
384,385,Calvin Hill\HillCa00,1973,26,1-24,DAL,NFL,14,14.0,273,1142,4.18,6,81.6,,32,290,9.06,0,20.7,,,1432,6,102.3,0
385,386,Rodney Hampton\HampRo00,1992,23,1-24,NYG,NFL,16,16.0,257,1141,4.44,14,71.3,38.0,28,215,7.68,0,13.4,73.7%,5.66,1356,14,84.7,0
386,387,John Henry Johnson*\JohnJo02,1962,33,2-18,PIT,NFL,14,14.0,251,1141,4.55,7,81.5,,32,226,7.06,2,16.1,,,1367,9,97.6,0
387,388,Leroy Kelly*\KellLe00,1966,24,8-110,CLE,NFL,14,14.0,209,1141,5.46,15,81.5,,32,366,11.44,1,26.1,,,1507,16,107.6,0
388,389,Warrick Dunn\DunnWa00,2006,31,1-12,ATL,NFL,16,16.0,286,1140,3.99,4,71.3,28.0,22,170,7.73,1,10.6,78.6%,6.07,1310,5,81.89999999999999,0
389,390,Eddie Lacy\LacyEd00,2014,24,2-61,GNB,NFL,16,16.0,246,1139,4.63,9,71.2,55.0,42,427,10.17,4,26.7,76.4%,7.76,1566,13,97.9,0
390,391,Lamar Smith\SmitLa00,2000,30,3-73,MIA,NFL,15,15.0,309,1139,3.69,14,75.9,38.0,31,201,6.48,2,13.4,81.6%,5.29,1340,16,89.30000000000001,0
391,392,LeSean McCoy\McCoLe01,2017,29,2-53,BUF,NFL,16,16.0,287,1138,3.97,6,71.1,77.0,59,448,7.59,2,28.0,76.6%,5.82,1586,8,99.1,0
392,393,Greg Bell\BellGr00,1989,27,1-26,RAM,NFL,16,15.0,272,1137,4.18,15,71.1,,19,85,4.47,0,5.3,,,1222,15,76.39999999999999,0
393,394,Joe Mixon\MixoJo00,2019,23,2-48,CIN,NFL,16,15.0,278,1137,4.09,5,71.1,45.0,35,287,8.2,3,17.9,77.8%,6.38,1424,8,89.0,0
394,395,Dalvin Cook\CookDa01,2019,24,2-41,MIN,NFL,14,14.0,250,1135,4.54,13,81.1,63.0,53,519,9.79,0,37.1,84.1%,8.24,1654,13,118.19999999999999,0
395,396,Warrick Dunn\DunnWa00,2000,25,1-12,TAM,NFL,16,14.0,248,1133,4.57,8,70.8,69.0,44,422,9.59,1,26.4,63.8%,6.12,1555,9,97.19999999999999,0
396,397,Kevin Jones\JoneKe02,2004,22,1-30,DET,NFL,15,14.0,241,1133,4.7,5,75.5,41.0,28,180,6.43,1,12.0,68.3%,4.39,1313,6,87.5,0
397,398,Floyd Little*\LittFl00,1971,29,1-6,DEN,NFL,14,13.0,284,1133,3.99,6,80.9,,26,255,9.81,0,18.2,,,1388,6,99.10000000000001,0
398,399,Jonathan Stewart\StewJo00,2009,22,1-13,CAR,NFL,16,3.0,221,1133,5.13,10,70.8,26.0,18,139,7.72,1,8.7,69.2%,5.35,1272,11,79.5,0
399,400,Jamal Lewis\LewiJa00,2006,27,1-5,BAL,NFL,16,16.0,314,1132,3.61,9,70.8,26.0,18,115,6.39,0,7.2,69.2%,4.42,1247,9,78.0,0
400,401,Joe Cribbs\CribJo00,1983,25,2-29,BUF,NFL,16,16.0,263,1131,4.3,3,70.7,,57,524,9.19,7,32.8,,,1655,10,103.5,0
401,402,Corey Dillon\DillCo00,1998,24,2-43,CIN,NFL,15,15.0,262,1130,4.31,4,75.3,44.0,28,178,6.36,1,11.9,63.6%,4.05,1308,5,87.2,0
402,403,Corey Dillon\DillCo00,1997,23,2-43,CIN,NFL,16,6.0,233,1129,4.85,10,70.6,33.0,27,259,9.59,0,16.2,81.8%,7.85,1388,10,86.8,0
403,404,Frank Gore\GoreFr00,2013,30,3-65,SFO,NFL,16,16.0,276,1128,4.09,9,70.5,27.0,16,141,8.81,0,8.8,59.3%,5.22,1269,9,79.3,0
404,405,Franco Harris*\HarrFr00,1976,26,1-13,PIT,NFL,14,14.0,289,1128,3.9,14,80.6,,23,151,6.57,0,10.8,,,1279,14,91.39999999999999,0
405,406,Willis McGahee\McGaWi00,2004,23,1-23,BUF,NFL,16,11.0,284,1128,3.97,13,70.5,36.0,22,169,7.68,0,10.6,61.1%,4.69,1297,13,81.1,0
406,407,Larry Brown\BrowLa01,1970,23,8-191,WAS,NFL,13,13.0,237,1125,4.75,5,86.5,,37,341,9.22,2,26.2,,,1466,7,112.7,0
407,408,Cleveland Gary\GaryCl00,1992,26,1-26,RAM,NFL,16,16.0,279,1125,4.03,7,70.3,55.0,52,293,5.63,3,18.3,94.5%,5.33,1418,10,88.6,0
408,409,O.J. Simpson*\SimpO.00,1974,27,1-1,BUF,NFL,14,14.0,270,1125,4.17,3,80.4,,15,189,12.6,1,13.5,,,1314,4,93.9,0
409,410,Jeremy Hill\HillJe01,2014,22,2-55,CIN,NFL,16,8.0,222,1124,5.06,9,70.3,32.0,27,215,7.96,0,13.4,84.4%,6.72,1339,9,83.7,0
410,411,Mark Ingram\IngrMa01,2017,28,1-28,NOR,NFL,16,13.0,230,1124,4.89,12,70.3,71.0,58,416,7.17,0,26.0,81.7%,5.86,1540,12,96.3,0
411,412,Antowain Smith\SmitAn00,1998,26,1-23,BUF,NFL,16,14.0,300,1124,3.75,8,70.3,11.0,5,11,2.2,0,0.7,45.5%,1.0,1135,8,71.0,0
412,413,Curtis Dickey\DickCu00,1983,27,1-5,BAL,NFL,16,16.0,254,1122,4.42,4,70.1,,24,483,20.13,3,30.2,,,1605,7,100.3,0
413,414,Jordan Howard\HowaJo00,2017,23,5-150,CHI,NFL,16,16.0,276,1122,4.07,9,70.1,32.0,23,125,5.43,0,7.8,71.9%,3.91,1247,9,77.89999999999999,0
414,415,Joe Delaney\DelaJo00,1981,23,2-41,KAN,NFL,15,10.0,234,1121,4.79,3,74.7,,22,246,11.18,0,16.4,,,1367,3,91.1,0
415,416,Paul Lowe\LowePa00,1965,29,,SDG,AFL,14,14.0,222,1121,5.05,6,80.1,,17,126,7.41,1,9.0,,,1247,7,89.1,0
416,417,DeMarco Murray\MurrDe00,2013,25,3-71,DAL,NFL,14,14.0,217,1121,5.17,9,80.1,66.0,53,350,6.6,1,25.0,80.3%,5.3,1471,10,105.1,0
417,418,Ricky Williams\WillRi00,2009,32,1-5,MIA,NFL,16,7.0,241,1121,4.65,11,70.1,53.0,35,264,7.54,2,16.5,66.0%,4.98,1385,13,86.6,0
418,419,James Allen\AlleJa00,2000,25,,CHI,NFL,16,15.0,290,1120,3.86,2,70.0,60.0,39,291,7.46,1,18.2,65.0%,4.85,1411,3,88.2,0
419,420,Jamaal Charles\CharJa00,2009,23,3-73,KAN,NFL,15,10.0,190,1120,5.89,7,74.7,55.0,40,297,7.43,1,19.8,72.7%,5.4,1417,8,94.5,0
420,421,Frank Gore\GoreFr00,2009,26,3-65,SFO,NFL,14,14.0,229,1120,4.89,10,80.0,75.0,52,406,7.81,3,29.0,69.3%,5.41,1526,13,109.0,0
421,422,Anthony Johnson\JohnAn00,1996,29,2-36,CAR,NFL,16,11.0,300,1120,3.73,6,70.0,33.0,26,192,7.38,0,12.0,78.8%,5.82,1312,6,82.0,0
422,423,Gary Anderson\AndeGa00,1988,27,1-20,SDG,NFL,14,13.0,225,1119,4.97,3,79.9,,32,182,5.69,0,13.0,,,1301,3,92.9,0
423,424,Thomas Jones\JoneTh00,2007,29,1-7,NYJ,NFL,16,14.0,310,1119,3.61,1,69.9,34.0,28,217,7.75,1,13.6,82.4%,6.38,1336,2,83.5,0
424,425,Larry Csonka*\CsonLa00,1972,26,1-8,MIA,NFL,14,14.0,213,1117,5.24,6,79.8,,5,48,9.6,0,3.4,,,1165,6,83.2,0
425,426,Terrell Davis*\DaviTe00,1995,23,6-196,DEN,NFL,14,14.0,237,1117,4.71,7,79.8,82.0,49,367,7.49,1,26.2,59.8%,4.48,1484,8,106.0,0
426,427,DeAngelo Williams\WillDe02,2009,26,1-27,CAR,NFL,13,13.0,216,1117,5.17,7,85.9,41.0,29,252,8.69,0,19.4,70.7%,6.15,1369,7,105.30000000000001,0
427,428,Karim Abdul-Jabbar\AbduKa00,1996,22,3-80,MIA,NFL,16,14.0,307,1116,3.64,11,69.8,46.0,23,139,6.04,0,8.7,50.0%,3.02,1255,11,78.5,0
428,429,Terdell Middleton\MiddTe00,1978,23,3-80,GNB,NFL,16,16.0,284,1116,3.93,11,69.8,,34,332,9.76,1,20.8,,,1448,12,90.6,0
429,430,Robert Edwards\EdwaRo00,1998,24,1-18,NWE,NFL,16,15.0,291,1115,3.83,9,69.7,52.0,35,331,9.46,3,20.7,67.3%,6.37,1446,12,90.4,0
430,431,Marshawn Lynch\LyncMa00,2007,21,1-12,BUF,NFL,13,13.0,280,1115,3.98,7,85.8,26.0,18,184,10.22,0,14.2,69.2%,7.08,1299,7,100.0,0
431,432,Barry Sanders*\SandBa00,1993,25,1-3,DET,NFL,11,11.0,243,1115,4.59,3,101.4,48.0,36,205,5.69,0,18.6,75.0%,4.27,1320,3,120.0,0
432,433,Harvey Williams\WillHa00,1995,28,1-21,OAK,NFL,16,16.0,255,1114,4.37,9,69.6,60.0,54,375,6.94,0,23.4,90.0%,6.25,1489,9,93.0,0
433,434,Chuck Foreman\ForeCh00,1977,27,1-12,MIN,NFL,14,14.0,270,1112,4.12,6,79.4,,38,308,8.11,3,22.0,,,1420,9,101.4,0
434,435,Cedric Benson\BensCe00,2010,28,1-4,CIN,NFL,16,16.0,321,1111,3.46,7,69.4,37.0,28,178,6.36,1,11.1,75.7%,4.81,1289,8,80.5,0
435,436,LaDainian Tomlinson*\TomlLa00,2008,29,1-5,SDG,NFL,16,16.0,292,1110,3.8,11,69.4,77.0,52,426,8.19,1,26.6,67.5%,5.53,1536,12,96.0,0
436,437,Ricky Watters\WattRi00,1997,28,2-45,PHI,NFL,16,16.0,285,1110,3.89,7,69.4,73.0,48,440,9.17,0,27.5,65.8%,6.03,1550,7,96.9,0
437,438,LenDale White\WhitLe01,2007,23,2-45,TEN,NFL,16,16.0,303,1110,3.66,7,69.4,31.0,20,114,5.7,0,7.1,64.5%,3.68,1224,7,76.5,0
438,439,Lawrence McCutcheon\McCuLa00,1974,24,3-70,RAM,NFL,14,14.0,236,1109,4.7,3,79.2,,39,408,10.46,2,29.1,,,1517,5,108.30000000000001,0
439,440,Wendell Tyler\TyleWe00,1979,24,3-79,RAM,NFL,16,12.0,218,1109,5.09,9,69.3,,32,308,9.63,1,19.3,,,1417,10,88.6,0
440,441,Rashard Mendenhall\MendRa00,2009,22,1-23,PIT,NFL,16,12.0,242,1108,4.58,7,69.3,32.0,25,261,10.44,1,16.3,78.1%,8.16,1369,8,85.6,0
441,442,Tony Dorsett*\DorsTo00,1979,25,1-2,DAL,NFL,14,14.0,250,1107,4.43,6,79.1,,45,375,8.33,1,26.8,,,1482,7,105.89999999999999,0
442,443,Neal Anderson\AndeNe00,1988,24,1-27,CHI,NFL,16,16.0,249,1106,4.44,12,69.1,,39,371,9.51,0,23.2,,,1477,12,92.3,0
443,444,Warrick Dunn\DunnWa00,2004,29,1-12,ATL,NFL,16,16.0,265,1106,4.17,9,69.1,39.0,29,294,10.14,0,18.4,74.4%,7.54,1400,9,87.5,0
444,445,Frank Gore\GoreFr00,2014,31,3-65,SFO,NFL,16,16.0,255,1106,4.34,4,69.1,19.0,11,111,10.09,1,6.9,57.9%,5.84,1217,5,76.0,0
445,446,Todd Gurley\GurlTo01,2015,21,1-10,STL,NFL,13,12.0,229,1106,4.83,10,85.1,26.0,21,188,8.95,0,14.5,80.8%,7.23,1294,10,99.6,0
446,447,John Brockington\BrocJo00,1971,23,1-9,GNB,NFL,14,14.0,216,1105,5.12,4,78.9,,14,98,7.0,1,7.0,,,1203,5,85.9,0
447,448,Melvin Gordon\GordMe00,2017,24,1-15,LAC,NFL,16,16.0,284,1105,3.89,8,69.1,83.0,58,476,8.21,4,29.8,69.9%,5.73,1581,12,98.89999999999999,0
448,449,Kevin Mack\MackKe00,1985,23,1-11,CLE,NFL,16,15.0,222,1104,4.97,7,69.0,,29,297,10.24,3,18.6,,,1401,10,87.6,0
449,450,Dominic Rhodes\RhodDo00,2001,22,,IND,NFL,15,10.0,233,1104,4.74,9,73.6,55.0,34,224,6.59,0,14.9,61.8%,4.07,1328,9,88.5,0
450,451,Mike Pruitt\PruiMi00,1981,27,1-7,CLE,NFL,16,16.0,247,1103,4.47,7,68.9,,63,442,7.02,1,27.6,,,1545,8,96.5,0
451,452,Frank Gore\GoreFr00,2007,24,3-65,SFO,NFL,15,15.0,260,1102,4.24,5,73.5,69.0,53,436,8.23,1,29.1,76.8%,6.32,1538,6,102.6,0
452,453,Jim Taylor*\TaylJi00,1960,25,2-15,GNB,NFL,12,12.0,230,1101,4.79,11,91.8,,15,121,8.07,0,10.1,,,1222,11,101.89999999999999,0
453,454,Mike Thomas\ThomMi00,1976,23,5-108,WAS,NFL,13,12.0,254,1101,4.33,5,84.7,,28,290,10.36,4,22.3,,,1391,9,107.0,0
454,455,Greg Bell\BellGr00,1984,22,1-26,BUF,NFL,16,15.0,262,1100,4.2,7,68.8,,34,277,8.15,1,17.3,,,1377,8,86.1,0
455,456,Marv Hubbard\HubbMa00,1972,26,11-277,OAK,NFL,14,14.0,219,1100,5.02,4,78.6,,22,103,4.68,0,7.4,,,1203,4,86.0,0
456,457,Clem Daniels\DaniCl00,1963,26,,OAK,AFL,14,,215,1099,5.11,3,78.5,,30,685,22.83,5,48.9,,,1784,8,127.4,0
457,458,Lamar Miller\MillLa01,2014,23,4-97,MIA,NFL,16,16.0,216,1099,5.09,8,68.7,52.0,38,275,7.24,1,17.2,73.1%,5.29,1374,9,85.9,0
458,459,Christian McCaffrey\McCaCh01,2018,22,1-8,CAR,NFL,16,16.0,219,1098,5.01,7,68.6,124.0,107,867,8.1,6,54.2,86.3%,6.99,1965,13,122.8,0
459,460,Joe Cribbs\CribJo00,1981,23,2-29,BUF,NFL,15,15.0,257,1097,4.27,3,73.1,,40,603,15.08,7,40.2,,,1700,10,113.3,0
460,461,Lawrence McCutcheon\McCuLa00,1973,23,3-70,RAM,NFL,12,12.0,210,1097,5.22,2,91.4,,30,289,9.63,3,24.1,,,1386,5,115.5,0
461,462,Cookie Gilchrist\GilcCo00,1962,27,,BUF,AFL,14,,214,1096,5.12,13,78.3,,24,319,13.29,2,22.8,,,1415,15,101.1,0
462,463,Matt Forte\FortMa00,2012,27,2-44,CHI,NFL,15,15.0,248,1094,4.41,5,72.9,59.0,44,340,7.73,1,22.7,74.6%,5.76,1434,6,95.60000000000001,0
463,464,BenJarvus Green-Ellis\GreeBe00,2012,27,,CIN,NFL,15,15.0,278,1094,3.94,6,72.9,30.0,22,104,4.73,0,6.9,73.3%,3.47,1198,6,79.80000000000001,0
464,465,Curtis Martin*\MartCu00,2002,29,3-74,NYJ,NFL,16,16.0,261,1094,4.19,7,68.4,56.0,49,362,7.39,0,22.6,87.5%,6.46,1456,7,91.0,0
465,466,Curt Warner\WarnCu00,1985,24,1-3,SEA,NFL,16,16.0,291,1094,3.76,8,68.4,,47,307,6.53,1,19.2,,,1401,9,87.60000000000001,0
466,467,George Rogers\RogeGe00,1985,27,1-1,WAS,NFL,15,5.0,231,1093,4.73,7,72.9,,4,29,7.25,0,1.9,,,1122,7,74.80000000000001,0
467,468,Thurman Thomas*\ThomTh00,1994,28,2-40,BUF,NFL,15,15.0,287,1093,3.81,7,72.9,71.0,50,349,6.98,2,23.3,70.4%,4.92,1442,9,96.2,0
468,469,Jerome Bettis*\BettJe00,1999,27,1-10,PIT,NFL,16,16.0,299,1091,3.65,7,68.2,28.0,21,110,5.24,0,6.9,75.0%,3.93,1201,7,75.10000000000001,0
469,470,Marlon Mack\MackMa00,2019,23,4-143,IND,NFL,14,12.0,247,1091,4.42,8,77.9,17.0,14,82,5.86,0,5.9,82.4%,4.82,1173,8,83.80000000000001,0
470,471,Ryan Mathews\MathRy00,2011,24,1-12,SDG,NFL,14,14.0,222,1091,4.91,6,77.9,59.0,50,455,9.1,0,32.5,84.7%,7.71,1546,6,110.4,0
471,472,Dick Bass\BassDi00,1966,29,1-2,RAM,NFL,14,14.0,248,1090,4.4,8,77.9,,31,274,8.84,0,19.6,,,1364,8,97.5,0
472,473,Brandon Jacobs\JacoBr00,2008,26,4-110,NYG,NFL,13,13.0,219,1089,4.97,15,83.8,12.0,6,36,6.0,0,2.8,50.0%,3.0,1125,15,86.6,0
473,474,Darren McFadden\McFaDa00,2015,28,1-4,DAL,NFL,16,10.0,239,1089,4.56,3,68.1,53.0,40,328,8.2,0,20.5,75.5%,6.19,1417,3,88.6,0
474,475,Leonard Russell\RussLe00,1993,24,1-14,NWE,NFL,16,15.0,300,1088,3.63,7,68.0,37.0,26,245,9.42,0,15.3,70.3%,6.62,1333,7,83.3,0
475,476,James Brooks\BrooJa00,1986,28,1-24,CIN,NFL,16,16.0,205,1087,5.3,5,67.9,,54,686,12.7,4,42.9,,,1773,9,110.80000000000001,0
476,477,Mike Garrett\GarrMi00,1967,23,2-18 20-178AFL,KAN,AFL,14,,236,1087,4.61,9,77.6,,46,261,5.67,1,18.6,,,1348,10,96.19999999999999,0
477,478,Reggie Bush\BushRe00,2011,26,1-2,MIA,NFL,15,15.0,216,1086,5.03,6,72.4,52.0,43,296,6.88,1,19.7,82.7%,5.69,1382,7,92.10000000000001,0
478,479,Adrian Murrell\MurrAd00,1997,27,5-120,NYJ,NFL,16,15.0,300,1086,3.62,7,67.9,41.0,27,106,3.93,0,6.6,65.9%,2.59,1192,7,74.5,0
479,480,Greg Pruitt\PruiGr00,1977,26,2-30,CLE,NFL,14,14.0,236,1086,4.6,3,77.6,,37,471,12.73,1,33.6,,,1557,4,111.19999999999999,0
480,481,Aaron Jones\JoneAa00,2019,25,5-182,GNB,NFL,16,16.0,236,1084,4.59,16,67.8,68.0,49,474,9.67,3,29.6,72.1%,6.97,1558,19,97.4,0
481,482,Julius Jones\JoneJu01,2006,25,2-43,DAL,NFL,16,16.0,267,1084,4.06,4,67.8,15.0,9,142,15.78,0,8.9,60.0%,9.47,1226,4,76.7,0
482,483,Craig Heyward\HeywCr00,1995,29,1-24,ATL,NFL,16,16.0,236,1083,4.59,6,67.7,46.0,37,350,9.46,2,21.9,80.4%,7.61,1433,8,89.6,0
483,484,Joe Morris\MorrJo00,1988,28,2-45,NYG,NFL,16,15.0,307,1083,3.53,5,67.7,,22,166,7.55,0,10.4,,,1249,5,78.10000000000001,0
484,485,Franco Harris*\HarrFr00,1978,28,1-13,PIT,NFL,16,16.0,310,1082,3.49,8,67.6,,22,144,6.55,0,9.0,,,1226,8,76.6,0
485,486,Joseph Addai\AddaJo00,2006,23,1-30,IND,NFL,16,0.0,226,1081,4.78,7,67.6,50.0,40,325,8.13,1,20.3,80.0%,6.5,1406,8,87.89999999999999,0
486,487,LeSean McCoy\McCoLe01,2010,22,2-53,PHI,NFL,15,13.0,207,1080,5.22,7,72.0,91.0,78,592,7.59,2,39.5,85.7%,6.51,1672,9,111.5,0
487,488,Mark van Eeghen\VanEMa00,1978,26,3-75,OAK,NFL,16,16.0,270,1080,4.0,9,67.5,,27,291,10.78,0,18.2,,,1371,9,85.7,0
488,489,Devonta Freeman\FreeDe00,2016,24,4-103,ATL,NFL,16,16.0,227,1079,4.75,11,67.4,65.0,54,462,8.56,2,28.9,83.1%,7.11,1541,13,96.30000000000001,0
489,490,Neal Anderson\AndeNe00,1990,26,1-27,CHI,NFL,15,14.0,260,1078,4.15,10,71.9,,42,484,11.52,3,32.3,,,1562,13,104.2,0
490,491,Marshall Faulk*\FaulMa00,1995,22,1-2,IND,NFL,16,16.0,289,1078,3.73,11,67.4,74.0,56,475,8.48,3,29.7,75.7%,6.42,1553,14,97.10000000000001,0
491,492,Rodney Hampton\HampRo00,1993,24,1-24,NYG,NFL,12,10.0,292,1077,3.69,5,89.8,23.0,18,210,11.67,0,17.5,78.3%,9.13,1287,5,107.3,0
492,493,Chris Johnson\JohnCh04,2013,28,1-24,TEN,NFL,16,16.0,279,1077,3.86,6,67.3,52.0,42,345,8.21,4,21.6,80.8%,6.63,1422,10,88.9,0
493,494,Pete Johnson\JohnPe00,1981,27,2-49,CIN,NFL,16,16.0,274,1077,3.93,12,67.3,,46,320,6.96,4,20.0,,,1397,16,87.3,0
494,495,Jim Otis\OtisJi00,1975,27,9-218,STL,NFL,14,14.0,269,1076,4.0,5,76.9,,12,69,5.75,1,4.9,,,1145,6,81.80000000000001,0
495,496,Rodney Hampton\HampRo00,1994,25,1-24,NYG,NFL,14,13.0,327,1075,3.29,6,76.8,20.0,14,103,7.36,0,7.4,70.0%,5.15,1178,6,84.2,0
496,497,Deuce McAllister\McAlDe00,2004,26,1-23,NOR,NFL,14,14.0,269,1074,3.99,9,76.7,48.0,34,228,6.71,0,16.3,70.8%,4.75,1302,9,93.0,0
497,498,Alfred Morris\MorrAl00,2014,26,6-173,WAS,NFL,16,16.0,265,1074,4.05,8,67.1,26.0,17,155,9.12,0,9.7,65.4%,5.96,1229,8,76.8,0
498,499,Rashaan Salaam\SalaRa00,1995,21,1-21,CHI,NFL,16,11.0,296,1074,3.63,10,67.1,13.0,7,56,8.0,0,3.5,53.8%,4.31,1130,10,70.6,0
499,500,Emmitt Smith*\SmitEm00,1997,28,1-17,DAL,NFL,16,16.0,261,1074,4.11,4,67.1,48.0,40,234,5.85,0,14.6,83.3%,4.88,1308,4,81.69999999999999,0
500,501,Wendell Tyler\TyleWe00,1981,26,3-79,RAM,NFL,15,15.0,260,1074,4.13,12,71.6,,45,436,9.69,5,29.1,,,1510,17,100.69999999999999,0
501,502,Lamar Miller\MillLa01,2016,25,4-97,HOU,NFL,14,14.0,268,1073,4.0,5,76.6,39.0,31,188,6.06,1,13.4,79.5%,4.82,1261,6,90.0,0
502,503,Joseph Addai\AddaJo00,2007,24,1-30,IND,NFL,15,15.0,261,1072,4.11,12,71.5,48.0,41,364,8.88,3,24.3,85.4%,7.58,1436,15,95.8,0
503,504,Jerome Bettis*\BettJe00,2001,29,1-10,PIT,NFL,11,11.0,225,1072,4.76,4,97.5,10.0,8,48,6.0,0,4.4,80.0%,4.8,1120,4,101.9,0
504,505,Chris Warren\WarrCh00,1993,25,4-89,SEA,NFL,14,14.0,273,1072,3.93,7,76.6,21.0,15,99,6.6,0,7.1,71.4%,4.71,1171,7,83.69999999999999,0
505,506,John David Crow\CrowJo00,1960,25,1-2,STL,NFL,12,12.0,183,1071,5.85,6,89.3,,25,462,18.48,3,38.5,,,1533,9,127.8,0
506,507,Chuck Foreman\ForeCh00,1975,25,1-12,MIN,NFL,14,12.0,280,1070,3.82,13,76.4,,73,691,9.47,9,49.4,,,1761,22,125.80000000000001,0
507,508,Garrison Hearst\HearGa00,1995,24,1-3,ARI,NFL,16,15.0,284,1070,3.77,1,66.9,47.0,29,243,8.38,1,15.2,61.7%,5.17,1313,2,82.10000000000001,0
508,509,Carlos Hyde\HydeCa00,2019,29,2-57,HOU,NFL,16,14.0,245,1070,4.37,6,66.9,16.0,10,42,4.2,0,2.6,62.5%,2.63,1112,6,69.5,0
509,510,Chris Ivory\IvorCh00,2015,27,,NYJ,NFL,15,14.0,247,1070,4.33,7,71.3,37.0,30,217,7.23,1,14.5,81.1%,5.86,1287,8,85.8,0
510,511,Freeman McNeil\McNeFr00,1984,25,1-3,NYJ,NFL,12,12.0,229,1070,4.67,5,89.2,,25,294,11.76,1,24.5,,,1364,6,113.7,0
511,512,Herschel Walker\WalkHe00,1992,30,5-114,PHI,NFL,16,16.0,267,1070,4.01,8,66.9,47.0,38,278,7.32,2,17.4,80.9%,5.91,1348,10,84.30000000000001,0
512,513,Matt Forte\FortMa00,2010,25,2-44,CHI,NFL,16,16.0,237,1069,4.51,6,66.8,70.0,51,547,10.73,3,34.2,72.9%,7.81,1616,9,101.0,0
513,514,Edgar Bennett\BennEd00,1995,26,4-103,GNB,NFL,16,16.0,316,1067,3.38,3,66.7,79.0,61,648,10.62,4,40.5,77.2%,8.2,1715,7,107.2,0
514,515,Cedric Benson\BensCe00,2011,29,1-4,CIN,NFL,15,15.0,273,1067,3.91,6,71.1,22.0,15,82,5.47,0,5.5,68.2%,3.73,1149,6,76.6,0
515,516,Chris Brown\BrowCh03,2004,23,3-93,TEN,NFL,11,11.0,220,1067,4.85,6,97.0,33.0,20,147,7.35,0,13.4,60.6%,4.45,1214,6,110.4,0
