Rk,Player,Year,Age,Draft,Tm,Lg,G,GS,Att,Yds,Y/A,TD,Y/G,RECTgt,RECRec,RECYds,RECY/R,RECTD,RECY/G,RECCtch%,RECY/Tgt
934,Joseph Addai\AddaJo00,2009,26,1-30,IND,NFL,15,15,219,828,3.78,10,55.2,63,51,336,6.59,3,22.4,81.0%,5.33
935,Kenny King\KingKe00,1981,24,3-72,OAK,NFL,14,14,170,828,4.87,0,59.1,,27,216,8.00,0,15.4,,
936,Rodney Hampton\HampRo00,1996,27,1-24,NYG,NFL,15,15,254,827,3.26,1,55.1,22,15,82,5.47,0,5.5,68.2%,3.73
937,Chuck Muncie\MuncCh00,1980,27,1-3,2TM,NFL,15,8,175,827,4.73,6,55.1,,31,259,8.35,0,17.3,,
938,Keith Lincoln\LincKe00,1963,24,5-61 2-15AFL,SDG,AFL,14,,128,826,6.45,5,59.0,,24,325,13.54,3,23.2,,
939,Essex Johnson\JohnEs00,1972,26,6-156,CIN,NFL,14,11,212,825,3.89,4,58.9,,29,420,14.48,2,30.0,,
940,Herschel Walker\WalkHe00,1991,29,5-114,MIN,NFL,15,15,198,825,4.17,10,55.0,,33,204,6.18,0,13.6,,
941,Sam Cunningham\CunnSa00,1976,26,1-11,NWE,NFL,11,11,172,824,4.79,3,74.9,,27,299,11.07,0,27.2,,
942,Clem Daniels\DaniCl00,1964,27,,OAK,AFL,14,,173,824,4.76,2,58.9,,42,696,16.57,6,49.7,,
943,Mack Herron\HerrMa01,1974,26,6-143,NWE,NFL,14,14,231,824,3.57,7,58.9,,38,474,12.47,5,33.9,,
944,Kareem Hunt\HuntKa00,2018,23,3-86,KAN,NFL,11,11,181,824,4.55,7,74.9,35,26,378,14.54,7,34.4,74.3%,10.80
945,Maurice Jones-Drew\DrewMa00,2008,23,2-60,JAX,NFL,16,3,197,824,4.18,12,51.5,75,62,565,9.11,2,35.3,82.7%,7.53
946,Jonathan Stewart\StewJo00,2016,29,1-13,CAR,NFL,13,13,218,824,3.78,9,63.4,21,8,60,7.50,0,4.6,38.1%,2.86
947,Jim Braxton\BraxJi00,1975,26,3-57,BUF,NFL,14,14,186,823,4.42,9,58.8,,26,282,10.85,4,20.1,,
948,Dalton Hilliard\HillDa00,1988,24,2-31,NOR,NFL,16,8,204,823,4.03,5,51.4,,34,335,9.85,1,20.9,,
949,Brandon Jacobs\JacoBr00,2010,28,4-110,NYG,NFL,16,5,147,823,5.60,9,51.4,13,7,59,8.43,0,3.7,53.8%,4.54
950,Natrone Means\MeanNa00,1997,25,2-41,JAX,NFL,14,11,244,823,3.37,9,58.8,20,15,104,6.93,0,7.4,75.0%,5.20
951,Don Perkins\PerkDo00,1967,29,9-106,DAL,NFL,14,14,201,823,4.09,6,58.8,,18,116,6.44,0,8.3,,
952,J.D. Smith\SmitJ.00,1961,29,15-179,SFO,NFL,14,14,167,823,4.93,8,58.8,,28,343,12.25,1,24.5,,
953,Cadillac Williams\WillCa02,2009,27,1-5,TAM,NFL,16,15,211,823,3.90,4,51.4,39,28,217,7.75,3,13.6,71.8%,5.56
954,Kevan Barlow\BarlKe00,2004,25,3-80,SFO,NFL,15,14,244,822,3.37,7,54.8,45,35,212,6.06,0,14.1,77.8%,4.71
955,Rob Carpenter\CarpRo01,1981,26,3-84,2TM,NFL,14,13,208,822,3.95,5,58.7,,37,281,7.59,1,20.1,,
956,Brent Fullwood\FullBr00,1989,26,1-4,GNB,NFL,15,15,204,821,4.02,5,54.7,,19,214,11.26,0,14.3,,
957,Nick Goings\GoinNi00,2004,26,,CAR,NFL,16,8,217,821,3.78,6,51.3,61,45,394,8.76,1,24.6,73.8%,6.46
958,Chris Ivory\IvorCh00,2014,26,,NYJ,NFL,16,10,198,821,4.15,6,51.3,27,18,123,6.83,1,7.7,66.7%,4.56
959,Johnny Johnson\JohnJo00,1993,25,7-169,NYJ,NFL,15,9,198,821,4.15,3,54.7,83,67,641,9.57,1,42.7,80.7%,7.72
960,MacArthur Lane\LaneMa00,1972,30,1-13,GNB,NFL,14,14,177,821,4.64,3,58.6,,26,285,10.96,0,20.4,,
961,Stephen Davis\DaviSt00,2002,28,4-102,WAS,NFL,12,12,207,820,3.96,7,68.3,33,23,142,6.17,1,11.8,69.7%,4.30
962,Lydell Mitchell\MitcLy00,1978,29,2-48,SDG,NFL,16,11,214,820,3.83,3,51.3,,57,500,8.77,2,31.3,,
963,Julius Jones\JoneJu01,2004,23,2-43,DAL,NFL,8,7,197,819,4.16,7,102.4,26,17,109,6.41,0,13.6,65.4%,4.19
964,Marshall Faulk*\FaulMa00,2003,30,1-2,STL,NFL,11,11,209,818,3.91,10,74.4,61,45,290,6.44,1,26.4,73.8%,4.75
965,Vagas Ferguson\FergVa00,1980,23,1-25,NWE,NFL,16,16,211,818,3.88,2,51.1,,22,173,7.86,0,10.8,,
966,Walt Garrison\GarrWa00,1969,25,5-79 17-151AFL,DAL,NFL,13,13,176,818,4.65,2,62.9,,13,131,10.08,0,10.1,,
967,Miles Sanders\SandMi01,2019,22,2-53,PHI,NFL,16,11,179,818,4.57,3,51.1,63,50,509,10.18,3,31.8,79.4%,8.08
968,Mark van Eeghen\VanEMa00,1979,27,3-75,OAK,NFL,16,16,223,818,3.67,7,51.1,,51,474,9.29,2,29.6,,
969,Kenyan Drake\DrakKe00,2019,25,3-73,2TM,NFL,14,10,170,817,4.81,8,58.4,68,50,345,6.90,0,24.6,73.5%,5.07
970,Leroy Kelly*\KellLe00,1969,27,8-110,CLE,NFL,13,14,196,817,4.17,9,62.8,,20,267,13.35,1,20.5,,
971,Rod Bernstine\BernRo00,1993,28,1-24,DEN,NFL,15,14,223,816,3.66,4,54.4,61,44,372,8.45,0,24.8,72.1%,6.10
972,Terry Metcalf\MetcTe00,1975,24,3-63,STL,NFL,13,13,165,816,4.95,9,62.8,,43,378,8.79,2,29.1,,
973,Roger Craig\CraiRo00,1987,27,2-49,SFO,NFL,14,14,215,815,3.79,3,58.2,,66,492,7.45,1,35.1,,
974,Don Perkins\PerkDo00,1961,23,9-106,DAL,NFL,14,14,200,815,4.08,4,58.2,,32,298,9.31,1,21.3,,
975,Vick Ballard\BallVi00,2012,22,5-170,IND,NFL,16,12,211,814,3.86,2,50.9,27,17,152,8.94,1,9.5,63.0%,5.63
976,Matt Breida\BreiMa00,2018,23,,SFO,NFL,14,13,153,814,5.32,3,58.1,31,27,261,9.67,2,18.6,87.1%,8.42
977,Chris Johnson\JohnCh04,2015,30,1-24,ARI,NFL,11,9,196,814,4.15,3,74.0,13,6,58,9.67,0,5.3,46.2%,4.46
978,Willis Crenshaw\CrenWi00,1968,27,9-114 26-204AFL,STL,NFL,14,14,203,813,4.00,6,58.1,,23,232,10.09,1,16.6,,
979,Matt Forte\FortMa00,2016,31,2-44,NYJ,NFL,14,13,218,813,3.73,7,58.1,43,30,263,8.77,1,18.8,69.8%,6.12
980,Erric Pegram\PegrEr00,1995,26,6-145,PIT,NFL,15,11,213,813,3.82,5,54.2,35,26,206,7.92,1,13.7,74.3%,5.89
981,Corey Dillon\DillCo00,2006,32,2-43,NWE,NFL,16,13,199,812,4.08,13,50.8,16,15,147,9.80,0,9.2,93.8%,9.19
982,Brian Westbrook\WestBr00,2004,25,3-91,PHI,NFL,13,12,177,812,4.59,3,62.5,87,73,703,9.63,6,54.1,83.9%,8.08
983,Jerome Bettis*\BettJe00,2003,31,1-10,PIT,NFL,16,10,246,811,3.30,7,50.7,22,13,86,6.62,0,5.4,59.1%,3.91
984,Sam Cunningham\CunnSa00,1974,24,1-11,NWE,NFL,10,10,166,811,4.89,9,81.1,,22,214,9.73,2,21.4,,
985,Leroy Kelly*\KellLe00,1972,30,8-110,CLE,NFL,14,14,224,811,3.62,4,57.9,,23,204,8.87,1,14.6,,
986,Chuck Muncie\MuncCh00,1977,24,1-3,NOR,NFL,14,11,201,811,4.03,6,57.9,,21,248,11.81,1,17.7,,
987,Vic Washington\WashVi00,1971,25,4-87,SFO,NFL,14,13,191,811,4.25,3,57.9,,36,317,8.81,4,22.6,,
988,Marion Butts\ButtMa00,1992,26,7-183,SDG,NFL,15,15,218,809,3.71,4,53.9,11,9,73,8.11,0,4.9,81.8%,6.64
989,Fred Lane\LaneFr00,1997,22,,CAR,NFL,13,7,182,809,4.45,7,62.2,13,8,27,3.38,0,2.1,61.5%,2.08
990,Jonathan Stewart\StewJo00,2014,27,1-13,CAR,NFL,13,8,175,809,4.62,3,62.2,31,25,181,7.24,1,13.9,80.6%,5.84
991,Cleveland Gary\GaryCl00,1990,24,1-26,RAM,NFL,15,7,204,808,3.96,14,53.9,,30,150,5.00,1,10.0,,
992,John Stephens\StepJo00,1990,24,1-17,NWE,NFL,16,14,212,808,3.81,2,50.5,,28,196,7.00,1,12.3,,
993,Cullen Bryant\BryaCu00,1980,29,2-31,RAM,NFL,16,16,183,807,4.41,3,50.4,,53,386,7.28,3,24.1,,
994,Mike Thomas\ThomMi00,1977,24,5-108,WAS,NFL,13,13,228,806,3.54,3,62.0,,28,245,8.75,2,18.8,,
995,Bill Brown\BrowBi00,1968,30,2-20 6-45AFL,MIN,NFL,14,14,222,805,3.63,11,57.5,,31,329,10.61,3,23.5,,
996,Christian Okoye\OkoyCh00,1990,29,2-35,KAN,NFL,14,13,245,805,3.29,7,57.5,,4,23,5.75,0,1.6,,
997,Sherman Smith\SmitSh00,1978,24,2-58,SEA,NFL,12,12,165,805,4.88,6,67.1,,28,366,13.07,1,30.5,,
998,Maurice Jones-Drew\DrewMa00,2013,28,2-60,JAX,NFL,15,15,234,803,3.43,5,53.5,60,43,314,7.30,0,20.9,71.7%,5.23
999,Duane Thomas\ThomDu00,1970,23,1-23,DAL,NFL,14,8,151,803,5.32,5,57.4,,10,73,7.30,0,5.2,,
1000,Amos Marsh\MarsAm00,1962,23,,DAL,NFL,14,14,144,802,5.57,6,57.3,,35,467,13.34,2,33.4,,
1001,Randy McMillan\McMiRa00,1983,25,1-12,BAL,NFL,16,16,198,802,4.05,5,50.1,,24,195,8.13,1,12.2,,
1002,Rickey Young\YounRi00,1976,23,7-164,SDG,NFL,14,14,162,802,4.95,4,57.3,,47,441,9.38,1,31.5,,
1003,Clem Daniels\DaniCl00,1966,29,,OAK,AFL,14,14,204,801,3.93,7,57.2,,40,652,16.30,3,46.6,,
1004,Chuck Foreman\ForeCh00,1973,23,1-12,MIN,NFL,12,10,182,801,4.40,4,66.8,,37,362,9.78,2,30.2,,
1005,Mike Garrett\GarrMi00,1966,22,2-18 20-178AFL,KAN,AFL,14,,147,801,5.45,6,57.2,,15,175,11.67,1,12.5,,
1006,Tevin Coleman\ColeTe01,2018,25,3-73,ATL,NFL,16,14,167,800,4.79,4,50.0,44,32,276,8.63,5,17.3,72.7%,6.27
1007,Curtis Dickey\DickCu00,1980,24,1-5,BAL,NFL,15,5,176,800,4.55,11,53.3,,25,204,8.16,2,13.6,,
1008,Felix Jones\JoneFe00,2010,23,1-22,DAL,NFL,16,7,185,800,4.32,1,50.0,52,48,450,9.38,1,28.1,92.3%,8.65
1009,Les Josephson\JoseLe00,1967,25,,RAM,NFL,14,14,178,800,4.49,4,57.1,,37,400,10.81,4,28.6,,
1010,Stump Mitchell\MitcSt00,1986,27,9-226,STL,NFL,15,13,174,800,4.60,5,53.3,,41,276,6.73,0,18.4,,
1011,Michael Turner\TurnMi00,2012,30,5-154,ATL,NFL,16,16,222,800,3.60,10,50.0,30,19,128,6.74,1,8.0,63.3%,4.27
1012,Mikel Leshoure\LeshMi00,2012,22,2-57,DET,NFL,14,14,215,798,3.71,9,57.0,49,34,214,6.29,0,15.3,69.4%,4.37
1013,Art Malone\MaloAr00,1972,24,2-39,ATL,NFL,14,14,180,798,4.43,8,57.0,,50,585,11.70,2,41.8,,
1014,Cadillac Williams\WillCa02,2006,24,1-5,TAM,NFL,14,14,225,798,3.55,1,57.0,44,30,196,6.53,0,14.0,68.2%,4.45
1015,Alvin Kamara\KamaAl00,2019,24,3-67,NOR,NFL,14,9,171,797,4.66,5,56.9,97,81,533,6.58,1,38.1,83.5%,5.49
1016,Benny Malone\MaloBe00,1976,24,2-47,MIA,NFL,14,12,186,797,4.28,4,56.9,,9,103,11.44,0,7.4,,
1017,Rob Carpenter\CarpRo01,1984,29,3-84,NYG,NFL,16,16,250,795,3.18,7,49.7,,26,209,8.04,1,13.1,,
1018,Adrian Murrell\MurrAd00,1995,25,5-120,NYJ,NFL,15,9,192,795,4.14,1,53.0,100,71,465,6.55,2,31.0,71.0%,4.65
1019,Jeremy Hill\HillJe01,2015,23,2-55,CIN,NFL,16,15,223,794,3.56,11,49.6,19,15,79,5.27,1,4.9,78.9%,4.16
1020,Tom Tracy\TracTo00,1959,25,5-50,PIT,NFL,12,12,199,794,3.99,3,66.2,,23,273,11.87,5,22.8,,
1021,Darrin Nelson\NelsDa00,1986,27,1-7,MIN,NFL,16,16,191,793,4.15,4,49.6,,53,593,11.19,3,37.1,,
1022,Duane Thomas\ThomDu00,1971,24,1-23,DAL,NFL,11,10,175,793,4.53,11,72.1,,13,153,11.77,2,13.9,,
1023,Pierre Thomas\ThomPi00,2009,25,,NOR,NFL,14,6,147,793,5.39,6,56.6,45,39,302,7.74,2,21.6,86.7%,6.71
1024,Beanie Wells\WellCh00,2009,21,1-31,ARI,NFL,16,0,176,793,4.51,7,49.6,16,12,143,11.92,0,8.9,75.0%,8.94
1025,Wilbur Jackson\JackWi01,1976,25,1-9,SFO,NFL,14,14,200,792,3.96,1,56.6,,33,324,9.82,1,23.1,,
1026,Alan Ameche\AmecAl00,1958,25,1-3,BAL,NFL,12,12,171,791,4.63,8,65.9,,13,81,6.23,1,6.8,,
1027,Willie Parker\ParkWi00,2008,28,,PIT,NFL,11,11,210,791,3.77,5,71.9,10,3,13,4.33,0,1.2,30.0%,1.30
1028,Ronnie Coleman\ColeRo00,1975,24,,HOU,NFL,14,12,175,790,4.51,5,56.4,,18,129,7.17,0,9.2,,
1029,Craig James\JameCr00,1984,23,7-187,NWE,NFL,15,7,160,790,4.94,1,52.7,,22,159,7.23,0,10.6,,
1030,Le'Veon Bell\BellLe00,2019,27,2-48,NYJ,NFL,15,15,245,789,3.22,3,52.6,78,66,461,6.98,1,30.7,84.6%,5.91
1031,Franco Harris*\HarrFr00,1980,30,1-13,PIT,NFL,13,13,208,789,3.79,4,60.7,,30,196,6.53,2,15.1,,
1032,Wilbert Montgomery\MontWi00,1984,30,6-154,PHI,NFL,16,15,201,789,3.93,2,49.3,,60,501,8.35,0,31.3,,
1033,Ken Willard\WillKe02,1970,27,1-2,SFO,NFL,14,14,236,789,3.34,7,56.4,,31,259,8.35,3,18.5,,
1034,Sammy Winder\WindSa00,1986,27,5-131,DEN,NFL,16,15,240,789,3.29,9,49.3,,26,171,6.58,5,10.7,,
1035,Latavius Murray\MurrLa00,2016,26,6-181,OAK,NFL,14,12,195,788,4.04,12,56.3,43,33,264,8.00,0,18.9,76.7%,6.14
1036,Don Calhoun\CalhDo00,1980,28,10-249,NWE,NFL,16,16,200,787,3.94,9,49.2,,27,129,4.78,0,8.1,,
1037,Clarence Davis\DaviCl00,1977,28,4-97,OAK,NFL,14,14,194,787,4.06,5,56.2,,16,124,7.75,0,8.9,,
1038,John Henry Johnson*\JohnJo02,1961,32,2-18,PIT,NFL,14,13,213,787,3.69,6,56.2,,24,262,10.92,1,18.7,,
1039,Fred Taylor\TaylFr00,2005,29,1-9,JAX,NFL,11,11,194,787,4.06,3,71.5,18,13,83,6.38,0,7.5,72.2%,4.61
1040,Wayne Wilson\WilsWa02,1983,26,12-324,NOR,NFL,14,8,199,787,3.95,9,56.2,,20,178,8.90,2,12.7,,
1041,Warrick Dunn\DunnWa00,2008,33,1-12,TAM,NFL,15,6,186,786,4.23,2,52.4,68,47,330,7.02,0,22.0,69.1%,4.85
1042,Freeman McNeil\McNeFr00,1982,23,1-3,NYJ,NFL,9,9,151,786,5.21,6,87.3,,16,187,11.69,1,20.8,,
1043,Larry Moriarty\MoriLa00,1984,26,5-114,HOU,NFL,14,9,189,785,4.15,6,56.1,,31,206,6.65,1,14.7,,
1044,Ottis Anderson\AndeOt00,1990,33,1-8,NYG,NFL,16,11,225,784,3.48,11,49.0,,18,139,7.72,0,8.7,,
1045,Carl Garrett\GarrCa00,1971,24,3-58,NWE,NFL,14,14,181,784,4.33,1,56.0,,22,265,12.05,1,18.9,,
1046,Walt Garrison\GarrWa00,1972,28,5-79 17-151AFL,DAL,NFL,14,14,167,784,4.69,7,56.0,,37,390,10.54,3,27.9,,
1047,Tony Nathan\NathTo00,1981,25,3-61,MIA,NFL,13,11,147,782,5.32,5,60.2,,50,452,9.04,3,34.8,,
1048,LeGarrette Blount\BlouLe00,2011,25,,TAM,NFL,14,14,184,781,4.24,5,55.8,25,15,148,9.87,0,10.6,60.0%,5.92
1049,Stump Mitchell\MitcSt00,1987,28,9-226,STL,NFL,12,12,203,781,3.85,3,65.1,,45,397,8.82,2,33.1,,
1050,Wilbur Jackson\JackWi01,1977,26,1-9,SFO,NFL,14,14,179,780,4.36,7,55.7,,22,169,7.68,0,12.1,,
1051,Ronald Moore\MoorRo01,1994,24,4-87,ARI,NFL,16,16,232,780,3.36,4,48.8,11,8,52,6.50,1,3.3,72.7%,4.73
1052,J.D. Smith\SmitJ.00,1960,28,15-179,SFO,NFL,12,12,174,780,4.48,5,65.0,,36,181,5.03,1,15.1,,
1053,Curtis Dickey\DickCu00,1981,25,1-5,BAL,NFL,15,15,164,779,4.75,7,51.9,,37,419,11.32,3,27.9,,
1054,T.J. Duckett\DuckT.00,2003,22,1-18,ATL,NFL,16,10,197,779,3.95,11,48.7,13,11,94,8.55,0,5.9,84.6%,7.23
1055,Craig Heyward\HeywCr00,1994,28,1-24,ATL,NFL,16,11,183,779,4.26,7,48.7,40,32,335,10.47,1,20.9,80.0%,8.38
1056,Knowshon Moreno\MoreKn00,2010,23,1-12,DEN,NFL,13,13,182,779,4.28,5,59.9,48,37,372,10.05,3,28.6,77.1%,7.75
1057,Ahmad Bradshaw\BradAh00,2009,23,7-250,NYG,NFL,15,1,163,778,4.77,7,51.9,30,21,207,9.86,0,13.8,70.0%,6.90
1058,Wilbert Montgomery\MontWi00,1980,26,6-154,PHI,NFL,12,12,193,778,4.03,8,64.8,,50,407,8.14,2,33.9,,
1059,Ken Willard\WillKe02,1965,22,1-2,SFO,NFL,14,14,189,778,4.12,5,55.6,,32,253,7.91,4,18.1,,
1060,Chuck Foreman\ForeCh00,1974,24,1-12,MIN,NFL,13,13,199,777,3.90,9,59.8,,53,586,11.06,6,45.1,,
1061,Elvis Peacock\PeacEl00,1980,24,1-20,RAM,NFL,13,9,164,777,4.74,7,59.8,,25,213,8.52,2,16.4,,
1062,Devin Singletary\SingDe00,2019,22,3-74,BUF,NFL,12,8,151,775,5.13,2,64.6,41,29,194,6.69,2,16.2,70.7%,4.73
1063,Sherman Smith\SmitSh00,1979,25,2-58,SEA,NFL,16,15,194,775,3.99,11,48.4,,48,499,10.40,4,31.2,,
1064,Marshall Faulk*\FaulMa00,2004,31,1-2,STL,NFL,14,14,195,774,3.97,3,55.3,65,50,310,6.20,1,22.1,76.9%,4.77
1065,Bam Morris\MorrBa00,1997,25,3-91,BAL,NFL,11,8,204,774,3.79,4,70.4,38,29,176,6.07,0,16.0,76.3%,4.63
1066,Terrance West\WestTe00,2016,25,3-94,BAL,NFL,16,13,193,774,4.01,5,48.4,45,34,236,6.94,1,14.8,75.6%,5.24
1067,Alfred Anderson\AndeAl00,1984,23,3-67,MIN,NFL,16,14,201,773,3.85,2,48.3,,17,102,6.00,1,6.4,,
1068,Ron Dayne\DaynRo00,2007,29,1-11,HOU,NFL,13,8,194,773,3.98,6,59.5,26,17,112,6.59,0,8.6,65.4%,4.31
1069,John Henry Johnson*\JohnJo02,1963,34,2-18,PIT,NFL,12,9,186,773,4.16,4,64.4,,21,145,6.90,1,12.1,,
1070,Stevan Ridley\RidlSt00,2013,24,3-73,NWE,NFL,14,6,178,773,4.34,7,55.2,12,10,62,6.20,0,4.4,83.3%,5.17
1071,LenDale White\WhitLe01,2008,24,2-45,TEN,NFL,16,2,200,773,3.87,15,48.3,10,5,16,3.20,0,1.0,50.0%,1.60
1072,LeGarrette Blount\BlouLe00,2013,27,,NWE,NFL,16,7,153,772,5.05,7,48.3,5,2,38,19.00,0,2.4,40.0%,7.60
1073,Merril Hoge\HogeMe00,1990,25,10-261,PIT,NFL,16,15,203,772,3.80,7,48.3,,40,342,8.55,3,21.4,,
1074,Raheem Mostert\MostRa00,2019,27,,SFO,NFL,16,0,137,772,5.64,8,48.3,22,14,180,12.86,2,11.3,63.6%,8.18
1075,Bilal Powell\PoweBi00,2017,29,4-126,NYJ,NFL,15,10,178,772,4.34,5,51.5,33,23,170,7.39,0,11.3,69.7%,5.15
1076,Joe Washington\WashJo00,1983,30,1-4,WAS,NFL,15,1,145,772,5.32,0,51.5,,47,454,9.66,6,30.3,,
1077,Ben Tate\TateBe00,2013,25,2-58,HOU,NFL,14,7,181,771,4.26,4,55.1,49,34,140,4.12,0,10.0,69.4%,2.86
1078,Ron Dayne\DaynRo00,2000,22,1-11,NYG,NFL,16,4,228,770,3.38,5,48.1,3,3,11,3.67,0,0.7,100.0%,3.67
1079,Jonathan Stewart\StewJo00,2010,23,1-13,CAR,NFL,14,7,178,770,4.33,2,55.0,14,8,103,12.88,1,7.4,57.1%,7.36
1080,Herschel Walker\WalkHe00,1990,28,5-114,MIN,NFL,16,16,184,770,4.18,5,48.1,,35,315,9.00,4,19.7,,
1081,Tim Worley\WorlTi00,1989,23,1-7,PIT,NFL,15,14,195,770,3.95,5,51.3,,15,113,7.53,0,7.5,,
1082,Mark Ingram\IngrMa01,2015,26,1-28,NOR,NFL,12,10,166,769,4.63,6,64.1,60,50,405,8.10,0,33.8,83.3%,6.75
1083,John Riggins*\RiggJo00,1971,22,1-6,NYJ,NFL,14,14,180,769,4.27,1,54.9,,36,231,6.42,2,16.5,,
1084,Sam Cunningham\CunnSa00,1978,28,1-11,NWE,NFL,16,14,199,768,3.86,8,48.0,,31,297,9.58,0,18.6,,
1085,Garrison Hearst\HearGa00,2003,32,1-3,SFO,NFL,12,12,178,768,4.31,3,64.0,38,25,211,8.44,1,17.6,65.8%,5.55
1086,Maurice Jones-Drew\DrewMa00,2007,22,2-60,JAX,NFL,15,0,167,768,4.60,9,51.2,55,40,407,10.18,0,27.1,72.7%,7.40
1087,Don Perkins\PerkDo00,1964,26,9-106,DAL,NFL,13,13,174,768,4.41,6,59.1,,15,155,10.33,0,11.9,,
1088,Scott Dierking\DierSc00,1979,24,4-90,NYJ,NFL,16,14,186,767,4.12,3,47.9,,10,121,12.10,0,7.6,,
1089,Paul Lowe\LowePa00,1961,25,,SDG,AFL,14,14,175,767,4.38,9,54.8,,17,103,6.06,0,7.4,,
1090,Rod Bernstine\BernRo00,1991,26,1-24,SDG,NFL,13,8,159,766,4.82,8,58.9,,11,124,11.27,0,9.5,,
1091,LeGarrette Blount\BlouLe00,2017,31,,PHI,NFL,16,11,173,766,4.43,2,47.9,8,8,50,6.25,1,3.1,100.0%,6.25
1092,Bobby Burnett\BurnBo01,1966,23,10-152 4-33AFL,BUF,AFL,14,,187,766,4.10,4,54.7,,34,419,12.32,4,29.9,,
1093,Clem Daniels\DaniCl00,1962,25,,OAK,AFL,14,,161,766,4.76,7,54.7,,24,318,13.25,1,22.7,,
1094,Shonn Greene\GreeSh00,2010,25,3-65,NYJ,NFL,15,2,185,766,4.14,2,51.1,24,16,120,7.50,0,8.0,66.7%,5.00
1095,Tre Mason\MasoTr00,2014,21,3-75,STL,NFL,12,9,179,765,4.27,4,63.8,26,16,148,9.25,1,12.3,61.5%,5.69
1096,Marcus Allen*\AlleMa00,1993,33,1-10,KAN,NFL,16,10,206,764,3.71,12,47.8,46,34,238,7.00,3,14.9,73.9%,5.17
1097,Willie Ellison\ElliWi00,1972,27,2-33,RAM,NFL,13,12,170,764,4.49,5,58.8,,23,141,6.13,1,10.8,,
1098,Pete Johnson\JohnPe00,1983,29,2-49,CIN,NFL,11,8,210,763,3.63,14,69.4,,15,129,8.60,0,11.7,,
1099,Tommy Mason\MasoTo00,1963,24,1-1 1-2AFL,MIN,NFL,13,13,166,763,4.60,7,58.7,,40,365,9.13,2,28.1,,
1100,Sherman Smith\SmitSh00,1977,23,2-58,SEA,NFL,14,14,163,763,4.68,4,54.5,,30,419,13.97,2,29.9,,
1101,Matt Snell\SnelMa00,1965,24,4-49 1-3AFL,NYJ,AFL,13,13,169,763,4.51,4,58.7,,38,264,6.95,0,20.3,,
1102,Leroy Thompson\ThomLe00,1993,24,6-158,PIT,NFL,15,6,205,763,3.72,3,50.9,46,38,259,6.82,0,17.3,82.6%,5.63
1103,Kenny Watson\WatsKe00,2007,29,,CIN,NFL,16,5,178,763,4.29,7,47.7,67,52,374,7.19,0,23.4,77.6%,5.58
1104,Ken Willard\WillKe02,1966,23,1-2,SFO,NFL,14,14,191,763,3.99,5,54.5,,42,351,8.36,2,25.1,,
1105,Pete Johnson\JohnPe00,1978,24,2-49,CIN,NFL,16,10,180,762,4.23,7,47.6,,31,236,7.61,0,14.8,,
1106,Amos Zereoue\ZereAm00,2002,26,3-95,PIT,NFL,16,5,193,762,3.95,4,47.6,53,42,341,8.12,0,21.3,79.2%,6.43
1107,Donny Anderson\AndeDo00,1968,25,1-7,GNB,NFL,14,13,170,761,4.48,5,54.4,,25,333,13.32,1,23.8,,
1108,Kenny King\KingKe00,1980,23,3-72,OAK,NFL,15,13,172,761,4.42,4,50.7,,22,145,6.59,0,9.7,,
1109,Andy Livingston\LiviAn00,1969,25,,NOR,NFL,14,14,181,761,4.20,5,54.4,,28,278,9.93,3,19.9,,
1110,Jonathan Stewart\StewJo00,2011,24,1-13,CAR,NFL,16,3,142,761,5.36,4,47.6,61,47,413,8.79,1,25.8,77.0%,6.77
1111,Maurice Smith\SmitMa00,2001,25,,ATL,NFL,16,12,237,760,3.21,5,47.5,27,19,230,12.11,1,14.4,70.4%,8.52
1112,Tom Sullivan\SullTo00,1974,24,15-378,PHI,NFL,14,14,244,760,3.11,11,54.3,,39,312,8.00,1,22.3,,
1113,Marcus Allen*\AlleMa00,1986,26,1-10,RAI,NFL,13,10,208,759,3.65,5,58.4,,46,453,9.85,2,34.8,,
1114,Reuben Droughns\DrouRe00,2006,28,3-81,CLE,NFL,14,12,220,758,3.45,4,54.1,33,27,169,6.26,0,12.1,81.8%,5.12
1115,Eddie Lacy\LacyEd00,2015,25,2-61,GNB,NFL,15,12,187,758,4.05,3,50.5,28,20,188,9.40,2,12.5,71.4%,6.71
1116,Joe Perry*\PerrJo00,1958,31,,SFO,NFL,12,12,125,758,6.06,4,63.2,,23,218,9.48,1,18.2,,
1117,Dickie Post\PostDi00,1968,23,4-94,SDG,AFL,13,10,151,758,5.02,3,58.3,,18,165,9.17,0,12.7,,
1118,Donny Anderson\AndeDo00,1971,28,1-7,GNB,NFL,14,13,186,757,4.07,5,54.1,,26,306,11.77,1,21.9,,
1119,Laurence Maroney\MaroLa00,2009,24,1-21,NWE,NFL,15,5,194,757,3.90,9,50.5,18,14,99,7.07,0,6.6,77.8%,5.50
1120,Lydell Mitchell\MitcLy00,1974,25,2-48,BAL,NFL,14,14,214,757,3.54,5,54.1,,72,544,7.56,2,38.9,,
1121,Dan Reeves\ReevDa00,1966,22,,DAL,NFL,14,14,175,757,4.33,8,54.1,,41,557,13.59,8,39.8,,
1122,Lorenzo White\WhitLo00,1994,28,1-22,HOU,NFL,15,8,191,757,3.96,3,50.5,42,21,188,8.95,1,12.5,50.0%,4.48
1123,Sammy Winder\WindSa00,1983,24,5-131,DEN,NFL,14,13,196,757,3.86,3,54.1,,23,150,6.52,0,10.7,,
