Rk,Player,Year,Age,Draft,Tm,Lg,G,GS,Att,Yds,Y/A,TD,Y/G,RECTgt,RECRec,RECYds,RECY/R,RECTD,RECY/G,RECCtch%,RECY/Tgt
825,Walter Abercrombie\AberWa00,1986,27,1-12,PIT,NFL,16,16,214,877,4.10,6,54.8,,47,395,8.40,2,24.7,,
826,Stacey Mack\MackSt00,2001,26,,JAX,NFL,16,11,213,877,4.12,9,54.8,34,23,165,7.17,1,10.3,67.6%,4.85
827,Ricky Watters\WattRi00,1994,25,2-45,SFO,NFL,16,16,239,877,3.67,6,54.8,88,66,719,10.89,5,44.9,75.0%,8.17
828,John Williams\WillJo00,1988,24,1-15,SEA,NFL,16,16,189,877,4.64,4,54.8,,58,651,11.22,3,40.7,,
829,DeShaun Foster\FostDe00,2007,27,2-34,CAR,NFL,16,16,247,876,3.55,3,54.8,36,25,182,7.28,1,11.4,69.4%,5.06
830,Johnny Roland\RolaJo00,1967,24,4-54,STL,NFL,13,13,234,876,3.74,10,67.4,,20,269,13.45,1,20.7,,
831,Abner Haynes\HaynAb00,1960,23,5-55,DTX,AFL,14,11,156,875,5.61,9,62.5,,55,576,10.47,3,41.1,,
832,Mercury Morris\MorrMe00,1975,28,3-63,MIA,NFL,14,14,219,875,4.00,4,62.5,,2,15,7.50,0,1.1,,
833,Gerald Riggs\RiggGe00,1987,27,1-9,ATL,NFL,12,12,203,875,4.31,2,72.9,,25,199,7.96,0,16.6,,
834,Larry Csonka*\CsonLa00,1970,24,1-8,MIA,NFL,14,14,193,874,4.53,6,62.4,,11,94,8.55,0,6.7,,
835,Larry Johnson\JohnLa00,2008,29,1-27,KAN,NFL,12,12,193,874,4.53,5,72.8,17,12,74,6.17,0,6.2,70.6%,4.35
836,Napoleon Kaufman\KaufNa00,1996,23,1-18,OAK,NFL,16,9,150,874,5.83,1,54.6,26,22,143,6.50,1,8.9,84.6%,5.50
837,Jay Ajayi\AjayJa00,2017,24,5-149,2TM,NFL,14,8,208,873,4.20,1,62.4,34,24,158,6.58,1,11.3,70.6%,4.65
838,Tony Collins\CollTo01,1981,22,2-47,NWE,NFL,16,11,204,873,4.28,7,54.6,,26,232,8.92,0,14.5,,
839,Dickie Post\PostDi00,1969,24,4-94,SDG,AFL,14,13,182,873,4.80,6,62.4,,24,235,9.79,0,16.8,,
840,Haskel Stanback\StanHa00,1977,25,5-114,ATL,NFL,14,14,247,873,3.53,6,62.4,,30,261,8.70,0,18.6,,
841,Lamar Miller\MillLa01,2015,24,4-97,MIA,NFL,16,16,194,872,4.49,8,54.5,57,47,397,8.45,2,24.8,82.5%,6.96
842,Nick Pietrosante\PietNi00,1960,23,1-6,DET,NFL,12,11,161,872,5.42,8,72.7,,13,129,9.92,0,10.8,,
843,Peyton Barber\BarbPe01,2018,24,,TAM,NFL,16,16,234,871,3.72,5,54.4,29,20,92,4.60,1,5.8,69.0%,3.17
844,Michael Turner\TurnMi00,2009,27,5-154,ATL,NFL,11,11,178,871,4.89,10,79.2,7,5,35,7.00,0,3.2,71.4%,5.00
845,Bernie Parmalee\ParmBe00,1994,27,,MIA,NFL,15,10,216,868,4.02,6,57.9,50,34,249,7.32,1,16.6,68.0%,4.98
846,Marv Hubbard\HubbMa00,1971,25,11-277,OAK,NFL,14,11,181,867,4.79,5,61.9,,22,167,7.59,1,11.9,,
