Season,Lg,Player,Age,Tm,Pos,G,A,PTS,+/-,W,L,T/O,GAA,SV%,OPS,DPS,GPS,PS
1961-62,NHL,Jacques Plante,33,MTL,G,0,0,0,,42,14,14,2.37,.923,0.0,0.0,15.6,15.6
1960-61,NHL,Bernie Geoffrion,29,MTL,RW,50,45,95,3,,,,,,10.5,1.1,0.0,11.6
1959-60,NHL,Gordie Howe,31,DET,RW,28,45,73,16,,,,,,6.4,1.1,0.0,7.4
1958-59,NHL,Andy Bathgate,26,NYR,RW,40,48,88,,,,,,,9.0,0.9,0.0,9.9
1957-58,NHL,Gordie Howe,29,DET,RW,33,44,77,,,,,,,7.9,0.8,0.0,8.8
1956-57,NHL,Gordie Howe,28,DET,RW,44,45,89,,,,,,,10.5,1.3,0.0,11.8
1955-56,NHL,Jean Beliveau,24,MTL,C,47,41,88,,,,,,,11.5,1.5,0.0,13.0
1954-55,NHL,Ted Kennedy,29,TOR,C,10,42,52,,,,,,,3.8,1.5,0.0,5.3
1953-54,NHL,Al Rollins,27,CBH,G,0,0,0,,12,47,7,3.21,,0.0,0.0,4.3,4.3
1952-53,NHL,Gordie Howe,24,DET,RW,49,46,95,,,,,,,14.1,1.4,0.0,15.5
1951-52,NHL,Gordie Howe,23,DET,RW,47,39,86,,,,,,,11.6,1.5,0.0,13.1
1950-51,NHL,Milt Schmidt,32,BOS,C,22,39,61,,,,,,,6.2,0.8,0.0,7.0
1949-50,NHL,Chuck Rayner,29,NYR,G,0,0,0,,28,30,11,2.62,,0.0,0.0,12.3,12.3
1948-49,NHL,Sid Abel,30,DET,C,28,26,54,,,,,,,6.2,1.0,0.0,7.3
1947-48,NHL,Buddy O'Connor,31,NYR,C,24,36,60,,,,,,,5.6,0.7,0.0,6.3
1946-47,NHL,Maurice Richard,25,MTL,RW,45,26,71,,,,,,,8.3,1.4,0.0,9.7
1945-46,NHL,Max Bentley,25,CBH,C,31,30,61,,,,,,,6.1,0.7,0.0,6.7
1944-45,NHL,Elmer Lach,27,MTL,C,26,54,80,,,,,,,6.3,1.4,0.0,7.7
1943-44,NHL,Babe Pratt,28,TOR,D,17,41,58,,,,,,,4.0,4.6,0.0,8.7
1942-43,NHL,Bill Cowley,30,BOS,C,27,45,72,,,,,,,5.4,0.9,0.0,6.3
1941-42,NHL,Tom Anderson,31,BRO,D,12,29,41,,,,,,,3.6,2.3,0.0,6.0
1940-41,NHL,Bill Cowley,28,BOS,C,17,47,64,,,,,,,6.4,1.0,0.0,7.4
1939-40,NHL,Ebbie Goodfellow,32,DET,D,11,18,29,,,,,,,3.4,2.7,0.0,6.1
1938-39,NHL,Toe Blake,26,MTL,LW,24,23,47,,,,,,,5.2,0.5,0.0,5.7
1937-38,NHL,Eddie Shore,35,BOS,D,3,14,17,,,,,,,1.6,4.7,0.0,6.3
1936-37,NHL,Babe Siebert,33,MTL,LW/D,8,20,28,,,,,,,2.1,0.9,0.0,3.1
1935-36,NHL,Eddie Shore,33,BOS,D,3,16,19,,,,,,,2.2,4.5,0.0,6.8
1934-35,NHL,Eddie Shore,32,BOS,D,7,26,33,,,,,,,3.8,3.8,0.0,7.7
1933-34,NHL,Aurele Joliat,32,MTL,LW,21,15,36,,,,,,,5.6,1.0,0.0,6.5
1932-33,NHL,Eddie Shore,30,BOS,D,8,27,35,,,,,,,5.1,4.6,0.0,9.8
1931-32,NHL,Howie Morenz,29,MTL,C,24,25,49,,,,,,,7.2,0.9,0.0,8.2
1930-31,NHL,Howie Morenz,28,MTL,C,28,23,51,,,,,,,9.7,0.9,0.0,10.5
1929-30,NHL,Nels Stewart,27,MTM,C,39,16,55,,,,,,,9.1,1.0,0.0,10.1
1928-29,NHL,Roy Worters,28,NYA,G,0,0,0,,16,12,10,1.15,,0.0,0.0,8.2,8.2
1927-28,NHL,Howie Morenz,25,MTL,C,33,18,51,,,,,,,14.4,1.5,0.0,15.9
1926-27,NHL,Herb Gardiner,35,MTL,D,6,7,13,,,,,,,2.2,5.6,0.0,7.7
1925-26,NHL,Nels Stewart,23,MTM,C,34,8,42,,,,,,,10.9,0.9,0.0,11.8
1924-25,NHL,Billy Burch,24,HAM,C,20,6,26,,,,,,,5.1,0.8,0.0,5.9
1923-24,NHL,Frank Nighbor,31,OTS,C,11,6,17,,,,,,,2.7,0.6,0.0,3.3
