Rk,Player,Year,Age,Draft,Tm,Lg,G,GS,Att,Yds,Y/A,TD,Y/G,Tgt,Rec,Yds,Y/R,TD,Y/G,Ctch%,Y/Tgt
1,Terrell Davis*\DaviTe00,1998,26,6-196,DEN,NFL,16,16,392,2008,5.12,21,125.5,38,25,217,8.68,2,13.6,65.8%,5.71
2,Jamal Anderson\AndeJa00,1998,26,7-201,ATL,NFL,16,16,410,1846,4.50,14,115.4,46,27,319,11.81,2,19.9,58.7%,6.93
3,Garrison Hearst\HearGa00,1998,27,1-3,SFO,NFL,16,16,310,1570,5.06,7,98.1,56,39,535,13.72,2,33.4,69.6%,9.55
4,Barry Sanders*\SandBa00,1998,30,1-3,DET,NFL,16,16,343,1491,4.35,4,93.2,57,37,289,7.81,0,18.1,64.9%,5.07
5,Emmitt Smith*\SmitEm00,1998,29,1-17,DAL,NFL,16,16,319,1332,4.18,13,83.3,32,27,175,6.48,2,10.9,84.4%,5.47
6,Marshall Faulk*\FaulMa00,1998,25,1-2,IND,NFL,16,15,324,1319,4.07,6,82.4,106,86,908,10.56,4,56.8,81.1%,8.57
7,Eddie George\GeorEd00,1998,25,1-14,TEN,NFL,16,16,348,1294,3.72,5,80.9,49,37,310,8.38,1,19.4,75.5%,6.33
8,Curtis Martin*\MartCu00,1998,25,3-74,NYJ,NFL,15,15,369,1287,3.49,8,85.8,57,43,365,8.49,1,24.3,75.4%,6.40
9,Ricky Watters\WattRi00,1998,29,2-45,SEA,NFL,16,16,319,1239,3.88,9,77.4,73,52,373,7.17,0,23.3,71.2%,5.11
10,Fred Taylor\TaylFr00,1998,22,1-9,JAX,NFL,15,12,264,1223,4.63,14,81.5,53,44,421,9.57,3,28.1,83.0%,7.94
11,Robert Smith\SmitRo00,1998,26,1-21,MIN,NFL,14,14,249,1187,4.77,6,84.8,35,28,291,10.39,2,20.8,80.0%,8.31
12,Jerome Bettis*\BettJe00,1998,26,1-10,PIT,NFL,15,15,316,1185,3.75,3,79.0,23,16,90,5.63,0,6.0,69.6%,3.91
13,Corey Dillon\DillCo00,1998,24,2-43,CIN,NFL,15,15,262,1130,4.31,4,75.3,44,28,178,6.36,1,11.9,63.6%,4.05
14,Antowain Smith\SmitAn00,1998,26,1-23,BUF,NFL,16,14,300,1124,3.75,8,70.3,11,5,11,2.20,0,0.7,45.5%,1.00
15,Robert Edwards\EdwaRo00,1998,24,1-18,NWE,NFL,16,15,291,1115,3.83,9,69.7,52,35,331,9.46,3,20.7,67.3%,6.37
16,Duce Staley\StalDu00,1998,23,3-71,PHI,NFL,16,13,258,1065,4.13,5,66.6,70,57,432,7.58,1,27.0,81.4%,6.17
17,Gary Brown\BrowGa00,1998,29,8-214,NYG,NFL,16,11,247,1063,4.30,5,66.4,26,13,36,2.77,0,2.3,50.0%,1.38
18,Adrian Murrell\MurrAd00,1998,28,5-120,ARI,NFL,15,14,274,1042,3.80,8,69.5,27,18,169,9.39,2,11.3,66.7%,6.26
19,Warrick Dunn\DunnWa00,1998,23,1-12,TAM,NFL,16,14,245,1026,4.19,2,64.1,57,44,344,7.82,0,21.5,77.2%,6.04
20,Priest Holmes\HolmPr00,1998,25,,BAL,NFL,16,13,233,1008,4.33,7,63.0,62,43,260,6.05,0,16.3,69.4%,4.19
21,Karim Abdul-Jabbar\AbduKa00,1998,24,3-80,MIA,NFL,15,15,270,960,3.56,6,64.0,31,21,102,4.86,0,6.8,67.7%,3.29
22,Napoleon Kaufman\KaufNa00,1998,25,1-18,OAK,NFL,13,13,217,921,4.24,2,70.8,36,25,191,7.64,0,14.7,69.4%,5.31
23,Natrone Means\MeanNa00,1998,26,2-41,SDG,NFL,10,10,212,883,4.17,5,88.3,22,16,91,5.69,0,9.1,72.7%,4.14
24,Mike Alstott\AlstMi00,1998,25,2-35,TAM,NFL,16,16,215,846,3.93,8,52.9,30,22,152,6.91,1,9.5,73.3%,5.07
25,Fred Lane\LaneFr00,1998,23,,CAR,NFL,14,11,205,717,3.50,5,51.2,15,12,85,7.08,0,6.1,80.0%,5.67
26,Terry Allen\AlleTe00,1998,30,9-241,WAS,NFL,10,10,148,700,4.73,2,70.0,22,17,128,7.53,0,12.8,77.3%,5.82
27,Edgar Bennett\BennEd00,1998,29,4-103,CHI,NFL,16,13,173,611,3.53,2,38.2,44,28,209,7.46,0,13.1,63.6%,4.75
28,Terrell Fletcher\FletTe00,1998,25,2-51,SDG,NFL,12,5,153,543,3.55,5,45.3,43,30,188,6.27,0,15.7,69.8%,4.37
29,Donnell Bennett\BennDo00,1998,26,2-58,KAN,NFL,16,10,148,527,3.56,5,32.9,20,16,91,5.69,1,5.7,80.0%,4.55
30,John Avery\AverJo00,1998,22,1-29,MIA,NFL,16,0,143,503,3.52,2,31.4,15,10,67,6.70,1,4.2,66.7%,4.47
