Rk,Player,Year,Age,Draft,Tm,Lg,G,GS,Att,Yds,Y/A,TD,Y/G,Tgt,Rec,Yds,Y/R,TD,Y/G,Ctch%,Y/Tgt
1,Jim Brown*\BrowJi00,1961,25,1-6,CLE,NFL,14,14,305,1408,4.62,8,100.6,,46,459,9.98,2,32.8,,
2,Jim Taylor*\TaylJi00,1961,26,2-15,GNB,NFL,14,14,243,1307,5.38,15,93.4,,25,175,7.00,1,12.5,,
3,Billy Cannon\CannBi00,1961,24,1-1,HOU,AFL,14,,200,948,4.74,6,67.7,,43,586,13.63,9,41.9,,
4,Alex Webster\WebsAl00,1961,30,11-123,NYG,NFL,14,14,196,928,4.73,2,66.3,,26,313,12.04,3,22.4,,
5,Bill Mathis\MathBi00,1961,23,8-88,NYT,AFL,14,,202,846,4.19,7,60.4,,12,42,3.50,1,3.0,,
6,Abner Haynes\HaynAb00,1961,24,5-55,DTX,AFL,14,13,179,841,4.70,9,60.1,,34,558,16.41,3,39.9,,
7,Nick Pietrosante\PietNi00,1961,24,1-6,DET,NFL,14,14,201,841,4.18,5,60.1,,26,315,12.12,0,22.5,,
8,J.D. Smith\SmitJ.00,1961,29,15-179,SFO,NFL,14,14,167,823,4.93,8,58.8,,28,343,12.25,1,24.5,,
9,Don Perkins\PerkDo00,1961,23,9-106,DAL,NFL,14,14,200,815,4.08,4,58.2,,32,298,9.31,1,21.3,,
10,John Henry Johnson*\JohnJo02,1961,32,2-18,PIT,NFL,14,13,213,787,3.69,6,56.2,,24,262,10.92,1,18.7,,
11,Paul Lowe\LowePa00,1961,25,,SDG,AFL,14,14,175,767,4.38,9,54.8,,17,103,6.06,0,7.4,,
12,Willie Galimore\GaliWi00,1961,26,5-58,CHI,NFL,14,12,153,707,4.62,4,50.5,,33,502,15.21,3,35.9,,
13,Joe Perry*\PerrJo00,1961,34,,BAL,NFL,13,13,168,675,4.02,3,51.9,,34,322,9.47,1,24.8,,
14,Jon Arnett\ArneJo00,1961,26,1-2,RAM,NFL,14,14,158,609,3.85,4,43.5,,28,194,6.93,0,13.9,,
15,Dick Bass\BassDi00,1961,24,1-2,RAM,NFL,14,9,98,608,6.20,4,43.4,,16,145,9.06,0,10.4,,
16,Paul Hornung*\HornPa00,1961,26,1-1,GNB,NFL,12,11,127,597,4.70,8,49.8,,15,145,9.67,2,12.1,,
17,Rick Casares\CasaRi00,1961,30,2-18,CHI,NFL,13,9,135,588,4.36,8,45.2,,8,69,8.63,0,5.3,,
18,Charley Tolar\TolaCh00,1961,24,27-319,HOU,AFL,14,,157,577,3.68,4,41.2,,24,219,9.13,1,15.6,,
19,Hugh McElhenny*\McElHu00,1961,33,1-9,MIN,NFL,13,13,120,570,4.75,3,43.8,,37,283,7.65,3,21.8,,
20,Bobby Mitchell*\MitcBo00,1961,26,7-84,CLE,NFL,14,14,101,548,5.43,5,39.1,,32,368,11.50,3,26.3,,
21,Prentice Gautt\GautPr00,1961,23,2-19,STL,NFL,14,13,129,523,4.05,3,37.4,,12,132,11.00,3,9.4,,
22,Donnie Stone\StonDo00,1961,24,21-249,DEN,AFL,14,12,127,505,3.98,4,36.1,,38,344,9.05,4,24.6,,
23,Art Baker\BakeAr00,1961,24,1-14 3-19AFL,BUF,AFL,14,,152,498,3.28,3,35.6,,6,73,12.17,0,5.2,,
24,Wayne Crow\CrowWa00,1961,23,8-85,OAK,AFL,14,,119,490,4.12,2,35.0,,17,105,6.18,0,7.5,,
25,Clarence Peaks\PeakCl00,1961,26,1-7,PHI,NFL,13,11,135,471,3.49,5,36.2,,32,472,14.75,0,36.3,,
26,Billy Lott\LottBi00,1961,27,6-70,BOS,AFL,14,8,100,461,4.61,5,32.9,,32,333,10.41,6,23.8,,
27,Bob Gaiters\GaitBo00,1961,23,2-17 1-1AFL,NYG,NFL,14,9,116,460,3.97,6,32.9,,11,54,4.91,1,3.9,,
28,Dan Lewis\LewiDa02,1961,25,6-73,DET,NFL,13,10,110,451,4.10,4,34.7,,8,118,14.75,0,9.1,,
29,Mel Triplett\TripMe00,1961,30,5-56,MIN,NFL,14,8,80,407,5.09,1,29.1,,10,41,4.10,0,2.9,,
30,Tom Tracy\TracTo00,1961,27,5-50,PIT,NFL,14,14,147,402,2.73,2,28.7,,14,133,9.50,1,9.5,,
