Rk,Player,Year,Age,Draft,Tm,Lg,G,GS,Att,Yds,Y/A,TD,Y/G,Tgt,Rec,Yds,Y/R,TD,Y/G,Ctch%,Y/Tgt
1,Shaun Alexander\AlexSh00,2005,28,1-19,SEA,NFL,16,16,370,1880,5.08,27,117.5,29,15,78,5.20,1,4.9,51.7%,2.69
2,Tiki Barber\BarbTi00,2005,30,2-36,NYG,NFL,16,16,357,1860,5.21,9,116.3,70,54,530,9.81,2,33.1,77.1%,7.57
3,Larry Johnson\JohnLa00,2005,26,1-27,KAN,NFL,16,9,336,1750,5.21,20,109.4,49,33,343,10.39,1,21.4,67.3%,7.00
4,Clinton Portis\PortCl00,2005,24,2-51,WAS,NFL,16,16,352,1516,4.31,11,94.8,41,30,216,7.20,0,13.5,73.2%,5.27
5,Edgerrin James*\JameEd00,2005,27,1-4,IND,NFL,15,15,360,1506,4.18,13,100.4,50,44,337,7.66,1,22.5,88.0%,6.74
6,LaDainian Tomlinson*\TomlLa00,2005,26,1-5,SDG,NFL,16,16,339,1462,4.31,18,91.4,77,51,370,7.25,2,23.1,66.2%,4.81
7,Rudi Johnson\JohnRu00,2005,26,4-100,CIN,NFL,16,14,337,1458,4.33,12,91.1,30,23,90,3.91,0,5.6,76.7%,3.00
8,Warrick Dunn\DunnWa00,2005,30,1-12,ATL,NFL,16,16,280,1416,5.06,3,88.5,37,29,220,7.59,1,13.8,78.4%,5.95
9,Thomas Jones\JoneTh00,2005,27,1-7,CHI,NFL,15,15,314,1335,4.25,9,89.0,39,26,143,5.50,0,9.5,66.7%,3.67
10,Willis McGahee\McGaWi00,2005,24,1-23,BUF,NFL,16,15,325,1247,3.84,5,77.9,37,28,178,6.36,0,11.1,75.7%,4.81
11,Reuben Droughns\DrouRe00,2005,27,3-81,CLE,NFL,16,16,309,1232,3.99,2,77.0,56,39,369,9.46,0,23.1,69.6%,6.59
12,Willie Parker\ParkWi00,2005,25,,PIT,NFL,15,15,255,1202,4.71,4,80.1,24,18,218,12.11,1,14.5,75.0%,9.08
13,Cadillac Williams\WillCa02,2005,23,1-5,TAM,NFL,14,14,290,1178,4.06,6,84.1,25,20,81,4.05,0,5.8,80.0%,3.24
14,Steven Jackson\JackSt00,2005,22,1-24,STL,NFL,15,15,254,1046,4.12,8,69.7,55,43,320,7.44,2,21.3,78.2%,5.82
15,LaMont Jordan\JordLa00,2005,27,2-49,OAK,NFL,14,14,272,1025,3.77,9,73.2,103,70,563,8.04,2,40.2,68.0%,5.47
16,Mike Anderson\AndeMi00,2005,32,6-189,DEN,NFL,15,15,239,1014,4.24,12,67.6,21,18,212,11.78,1,14.1,85.7%,10.10
17,Julius Jones\JoneJu01,2005,24,2-43,DAL,NFL,13,12,257,993,3.86,5,76.4,45,35,218,6.23,0,16.8,77.8%,4.84
18,Domanick Williams\DaviDo01,2005,25,4-101,HOU,NFL,11,11,230,976,4.24,2,88.7,48,39,337,8.64,4,30.6,81.3%,7.02
19,Tatum Bell\BellTa00,2005,24,2-41,DEN,NFL,15,1,173,921,5.32,8,61.4,28,18,104,5.78,0,6.9,64.3%,3.71
20,Ronnie Brown\BrowRo05,2005,24,1-2,MIA,NFL,15,14,207,907,4.38,4,60.5,47,32,232,7.25,1,15.5,68.1%,4.94
21,Jamal Lewis\LewiJa00,2005,26,1-5,BAL,NFL,15,15,269,906,3.37,3,60.4,44,32,191,5.97,1,12.7,72.7%,4.34
22,DeShaun Foster\FostDe00,2005,25,2-34,CAR,NFL,15,5,205,879,4.29,2,58.6,48,34,372,10.94,1,24.8,70.8%,7.75
23,Chris Brown\BrowCh03,2005,24,3-93,TEN,NFL,15,14,224,851,3.80,5,56.7,37,25,327,13.08,2,21.8,67.6%,8.84
24,Fred Taylor\TaylFr00,2005,29,1-9,JAX,NFL,11,11,194,787,4.06,3,71.5,18,13,83,6.38,0,7.5,72.2%,4.61
25,Ricky Williams\WillRi00,2005,28,1-5,MIA,NFL,12,3,168,743,4.42,6,61.9,20,17,93,5.47,0,7.8,85.0%,4.65
26,Curtis Martin*\MartCu00,2005,32,3-74,NYJ,NFL,12,12,220,735,3.34,5,61.3,30,24,118,4.92,0,9.8,80.0%,3.93
27,Corey Dillon\DillCo00,2005,31,2-43,NWE,NFL,12,10,209,733,3.51,12,61.1,26,22,181,8.23,1,15.1,84.6%,6.96
28,Kevin Jones\JoneKe02,2005,23,1-30,DET,NFL,13,13,186,664,3.57,5,51.1,28,20,109,5.45,0,8.4,71.4%,3.89
29,Mewelde Moore\MoorMe00,2005,23,4-119,MIN,NFL,16,8,155,662,4.27,1,41.4,49,37,339,9.16,2,21.2,75.5%,6.92
30,Antowain Smith\SmitAn00,2005,33,1-23,NOR,NFL,16,7,166,659,3.97,3,41.2,15,12,46,3.83,0,2.9,80.0%,3.07
