Rk,Player,Year,Age,Draft,Tm,Lg,G,GS,Att,Yds,Y/A,TD,Y/G,Tgt,Rec,Yds,Y/R,TD,Y/G,Ctch%,Y/Tgt
1,O.J. Simpson*\SimpO.00,1972,25,1-1,BUF,NFL,14,14,292,1251,4.28,6,89.4,,27,198,7.33,0,14.1,,
2,Larry Brown\BrowLa01,1972,25,8-191,WAS,NFL,12,12,285,1216,4.27,8,101.3,,32,473,14.78,4,39.4,,
3,Ron Johnson\JohnRo02,1972,25,1-20,NYG,NFL,14,14,298,1182,3.97,9,84.4,,45,451,10.02,5,32.2,,
4,Larry Csonka*\CsonLa00,1972,26,1-8,MIA,NFL,14,14,213,1117,5.24,6,79.8,,5,48,9.60,0,3.4,,
5,Marv Hubbard\HubbMa00,1972,26,11-277,OAK,NFL,14,14,219,1100,5.02,4,78.6,,22,103,4.68,0,7.4,,
6,Franco Harris*\HarrFr00,1972,22,1-13,PIT,NFL,14,10,188,1055,5.61,10,75.4,,21,180,8.57,1,12.9,,
7,Calvin Hill\HillCa00,1972,25,1-24,DAL,NFL,14,14,245,1036,4.23,6,74.0,,43,364,8.47,3,26.0,,
8,Mike Garrett\GarrMi00,1972,28,2-18 20-178AFL,SDG,NFL,14,14,272,1031,3.79,6,73.6,,31,245,7.90,1,17.5,,
9,John Brockington\BrocJo00,1972,24,1-9,GNB,NFL,14,14,274,1027,3.75,8,73.4,,19,243,12.79,1,17.4,,
10,Mercury Morris\MorrMe00,1972,25,3-63,MIA,NFL,14,11,190,1000,5.26,12,71.4,,15,168,11.20,0,12.0,,
11,Dave Hampton\HampDa00,1972,25,9-220,ATL,NFL,13,11,230,995,4.33,6,76.5,,23,244,10.61,1,18.8,,
12,John Riggins*\RiggJo00,1972,23,1-6,NYJ,NFL,12,11,207,944,4.56,7,78.7,,21,230,10.95,1,19.2,,
13,Floyd Little*\LittFl00,1972,30,1-6,DEN,NFL,14,14,216,859,3.98,9,61.4,,28,367,13.11,4,26.2,,
14,Essex Johnson\JohnEs00,1972,26,6-156,CIN,NFL,14,11,212,825,3.89,4,58.9,,29,420,14.48,2,30.0,,
15,MacArthur Lane\LaneMa00,1972,30,1-13,GNB,NFL,14,14,177,821,4.64,3,58.6,,26,285,10.96,0,20.4,,
16,Leroy Kelly*\KellLe00,1972,30,8-110,CLE,NFL,14,14,224,811,3.62,4,57.9,,23,204,8.87,1,14.6,,
17,Art Malone\MaloAr00,1972,24,2-39,ATL,NFL,14,14,180,798,4.43,8,57.0,,50,585,11.70,2,41.8,,
18,Walt Garrison\GarrWa00,1972,28,5-79 17-151AFL,DAL,NFL,14,14,167,784,4.69,7,56.0,,37,390,10.54,3,27.9,,
19,Willie Ellison\ElliWi00,1972,27,2-33,RAM,NFL,13,12,170,764,4.49,5,58.8,,23,141,6.13,1,10.8,,
20,Charlie Smith\SmitCh01,1972,26,4-110,OAK,NFL,14,13,170,686,4.04,8,49.0,,28,353,12.61,2,25.2,,
21,Cid Edwards\EdwaCi00,1972,29,,SDG,NFL,12,12,157,679,4.32,5,56.6,,40,557,13.93,2,46.4,,
22,Don McCauley\McCaDo00,1972,23,1-22,BAL,NFL,14,10,178,675,3.79,2,48.2,,30,256,8.53,2,18.3,,
23,John Fuqua\FuquJo00,1972,26,11-273,PIT,NFL,13,13,150,665,4.43,4,51.2,,18,152,8.44,0,11.7,,
24,Altie Taylor\TaylAl00,1972,25,2-34,DET,NFL,13,12,154,658,4.27,4,50.6,,29,250,8.62,2,19.2,,
25,Oscar Reed\ReedOs00,1972,28,7-167,MIN,NFL,14,14,151,639,4.23,2,45.6,,30,205,6.83,0,14.6,,
26,Jim Harrison\HarrJi00,1972,24,2-28,CHI,NFL,14,14,167,622,3.72,2,44.4,,8,30,3.75,1,2.1,,
27,Ed Podolak\PodoEd00,1972,25,2-48,KAN,NFL,13,10,171,615,3.60,4,47.3,,46,345,7.50,2,26.5,,
28,Jim Bertelsen\BertJi00,1972,22,2-30,RAM,NFL,14,7,123,581,4.72,5,41.5,,29,331,11.41,1,23.6,,
29,Bo Scott\ScotBo01,1972,29,3-32 20-155AFL,CLE,NFL,12,12,123,571,4.64,2,47.6,,23,172,7.48,0,14.3,,
30,Charlie Harraway\HarrCh00,1972,28,18-273 14-124AFL,WAS,NFL,14,14,148,567,3.83,6,40.5,,15,105,7.00,0,7.5,,
