Rk,Player,Year,Age,Draft,Tm,Lg,G,GS,Att,Yds,Y/A,TD,Y/G,Tgt,Rec,Yds,Y/R,TD,Y/G,Ctch%,Y/Tgt
1,LaDainian Tomlinson*\TomlLa00,2006,27,1-5,SDG,NFL,16,16,348,1815,5.22,28,113.4,80,56,508,9.07,3,31.8,70.0%,6.35
2,Larry Johnson\JohnLa00,2006,27,1-27,KAN,NFL,16,16,416,1789,4.30,17,111.8,66,41,410,10.00,2,25.6,62.1%,6.21
3,Frank Gore\GoreFr00,2006,23,3-65,SFO,NFL,16,16,312,1695,5.43,8,105.9,86,61,485,7.95,1,30.3,70.9%,5.64
4,Tiki Barber\BarbTi00,2006,31,2-36,NYG,NFL,16,16,327,1662,5.08,5,103.9,75,58,465,8.02,0,29.1,77.3%,6.20
5,Steven Jackson\JackSt00,2006,23,1-24,STL,NFL,16,16,346,1528,4.42,13,95.5,110,90,806,8.96,3,50.4,81.8%,7.33
6,Willie Parker\ParkWi00,2006,26,,PIT,NFL,16,16,337,1494,4.43,13,93.4,42,31,222,7.16,3,13.9,73.8%,5.29
7,Rudi Johnson\JohnRu00,2006,27,4-100,CIN,NFL,16,15,341,1309,3.84,12,81.8,31,23,124,5.39,0,7.8,74.2%,4.00
8,Brian Westbrook\WestBr00,2006,27,3-91,PHI,NFL,15,14,240,1217,5.07,7,81.1,105,77,699,9.08,4,46.6,73.3%,6.66
9,Chester Taylor\TaylCh01,2006,27,6-207,MIN,NFL,15,15,303,1216,4.01,6,81.1,51,42,288,6.86,0,19.2,82.4%,5.65
10,Travis Henry\HenrTr00,2006,28,2-58,TEN,NFL,14,13,270,1211,4.49,7,86.5,25,18,78,4.33,0,5.6,72.0%,3.12
11,Thomas Jones\JoneTh00,2006,28,1-7,CHI,NFL,16,16,296,1210,4.09,6,75.6,47,36,154,4.28,0,9.6,76.6%,3.28
12,Edgerrin James*\JameEd00,2006,28,1-4,ARI,NFL,16,16,337,1159,3.44,6,72.4,61,38,217,5.71,0,13.6,62.3%,3.56
13,Ladell Betts\BettLa00,2006,27,2-56,WAS,NFL,16,9,245,1154,4.71,4,72.1,64,53,445,8.40,1,27.8,82.8%,6.95
14,Fred Taylor\TaylFr00,2006,30,1-9,JAX,NFL,15,15,231,1146,4.96,5,76.4,28,23,242,10.52,1,16.1,82.1%,8.64
15,Warrick Dunn\DunnWa00,2006,31,1-12,ATL,NFL,16,16,286,1140,3.99,4,71.3,28,22,170,7.73,1,10.6,78.6%,6.07
16,Jamal Lewis\LewiJa00,2006,27,1-5,BAL,NFL,16,16,314,1132,3.61,9,70.8,26,18,115,6.39,0,7.2,69.2%,4.42
17,Julius Jones\JoneJu01,2006,25,2-43,DAL,NFL,16,16,267,1084,4.06,4,67.8,15,9,142,15.78,0,8.9,60.0%,9.47
18,Joseph Addai\AddaJo00,2006,23,1-30,IND,NFL,16,0,226,1081,4.78,7,67.6,50,40,325,8.13,1,20.3,80.0%,6.50
19,Ahman Green\GreeAh00,2006,29,3-76,GNB,NFL,14,14,266,1059,3.98,5,75.6,63,46,373,8.11,1,26.6,73.0%,5.92
20,Deuce McAllister\McAlDe00,2006,28,1-23,NOR,NFL,15,13,244,1057,4.33,10,70.5,36,30,198,6.60,0,13.2,83.3%,5.50
21,Tatum Bell\BellTa00,2006,25,2-41,DEN,NFL,13,13,233,1025,4.40,2,78.8,31,24,115,4.79,0,8.8,77.4%,3.71
22,Ronnie Brown\BrowRo05,2006,25,1-2,MIA,NFL,13,12,241,1008,4.18,5,77.5,38,33,276,8.36,0,21.2,86.8%,7.26
23,Willis McGahee\McGaWi00,2006,25,1-23,BUF,NFL,14,14,259,990,3.82,6,70.7,28,18,156,8.67,0,11.1,64.3%,5.57
24,Maurice Jones-Drew\DrewMa00,2006,21,2-60,JAX,NFL,16,1,166,941,5.67,13,58.8,62,46,436,9.48,2,27.3,74.2%,7.03
25,DeShaun Foster\FostDe00,2006,26,2-34,CAR,NFL,14,14,227,897,3.95,3,64.1,46,32,159,4.97,0,11.4,69.6%,3.46
26,Shaun Alexander\AlexSh00,2006,29,1-19,SEA,NFL,10,10,252,896,3.56,7,89.6,16,12,48,4.00,0,4.8,75.0%,3.00
27,Corey Dillon\DillCo00,2006,32,2-43,NWE,NFL,16,13,199,812,4.08,13,50.8,16,15,147,9.80,0,9.2,93.8%,9.19
28,Cadillac Williams\WillCa02,2006,24,1-5,TAM,NFL,14,14,225,798,3.55,1,57.0,44,30,196,6.53,0,14.0,68.2%,4.45
29,Reuben Droughns\DrouRe00,2006,28,3-81,CLE,NFL,14,12,220,758,3.45,4,54.1,33,27,169,6.26,0,12.1,81.8%,5.12
30,Laurence Maroney\MaroLa00,2006,21,1-21,NWE,NFL,14,0,175,745,4.26,6,53.2,30,22,194,8.82,1,13.9,73.3%,6.47
