Rk,Player,Year,Age,Draft,Tm,Lg,G,GS,Att,Yds,Y/A,TD,Y/G,Tgt,Rec,Yds,Y/R,TD,Y/G,Ctch%,Y/Tgt
1,Marcus Allen*\AlleMa00,1985,25,1-10,RAI,NFL,16,16,380,1759,4.63,11,109.9,,67,555,8.28,3,34.7,,
2,Gerald Riggs\RiggGe00,1985,25,1-9,ATL,NFL,16,16,397,1719,4.33,10,107.4,,33,267,8.09,0,16.7,,
3,Walter Payton*\PaytWa00,1985,31,1-4,CHI,NFL,16,16,324,1551,4.79,9,96.9,,49,483,9.86,2,30.2,,
4,Joe Morris\MorrJo00,1985,25,2-45,NYG,NFL,16,16,294,1336,4.54,21,83.5,,22,212,9.64,0,13.3,,
5,Freeman McNeil\McNeFr00,1985,26,1-3,NYJ,NFL,14,13,294,1331,4.53,3,95.1,,38,427,11.24,2,30.5,,
6,Tony Dorsett*\DorsTo00,1985,31,1-2,DAL,NFL,16,16,305,1307,4.29,7,81.7,,46,449,9.76,3,28.1,,
7,James Wilder\WildJa00,1985,27,2-34,TAM,NFL,16,16,365,1300,3.56,10,81.3,,53,341,6.43,0,21.3,,
8,Eric Dickerson*\DickEr00,1985,25,1-2,RAM,NFL,14,14,292,1234,4.23,12,88.1,,20,126,6.30,0,9.0,,
9,Craig James\JameCr00,1985,24,7-187,NWE,NFL,16,14,263,1227,4.67,5,76.7,,27,360,13.33,2,22.5,,
10,Kevin Mack\MackKe00,1985,23,1-11,CLE,NFL,16,15,222,1104,4.97,7,69.0,,29,297,10.24,3,18.6,,
11,Curt Warner\WarnCu00,1985,24,1-3,SEA,NFL,16,16,291,1094,3.76,8,68.4,,47,307,6.53,1,19.2,,
12,George Rogers\RogeGe00,1985,27,1-1,WAS,NFL,15,5,231,1093,4.73,7,72.9,,4,29,7.25,0,1.9,,
13,Roger Craig\CraiRo00,1985,25,2-49,SFO,NFL,16,16,214,1050,4.91,9,65.6,,92,1016,11.04,6,63.5,,
14,Earnest Jackson\JackEa00,1985,26,8-202,PHI,NFL,16,11,282,1028,3.65,5,64.3,,10,126,12.60,1,7.9,,
15,Stump Mitchell\MitcSt00,1985,26,9-226,STL,NFL,16,8,183,1006,5.50,7,62.9,,47,502,10.68,3,31.4,,
16,Earnest Byner\ByneEa00,1985,23,10-280,CLE,NFL,16,13,244,1002,4.11,8,62.6,,45,460,10.22,2,28.8,,
17,Frank Pollard\PollFr00,1985,28,11-305,PIT,NFL,16,16,233,991,4.25,3,61.9,,24,250,10.42,0,15.6,,
18,James Brooks\BrooJa00,1985,27,1-24,CIN,NFL,16,16,192,929,4.84,7,58.1,,55,576,10.47,5,36.0,,
19,Darrin Nelson\NelsDa00,1985,26,1-7,MIN,NFL,16,10,200,893,4.47,5,55.8,,43,301,7.00,1,18.8,,
20,James Jones\JoneJa00,1985,24,1-13,DET,NFL,14,13,244,886,3.63,6,63.3,,45,334,7.42,3,23.9,,
21,Greg Bell\BellGr00,1985,23,1-26,BUF,NFL,16,15,223,883,3.96,8,55.2,,58,576,9.93,1,36.0,,
22,Wendell Tyler\TyleWe00,1985,30,3-79,SFO,NFL,13,12,171,867,5.07,6,66.7,,20,154,7.70,2,11.8,,
23,Randy McMillan\McMiRa00,1985,27,1-12,IND,NFL,15,14,190,858,4.52,7,57.2,,22,115,5.23,0,7.7,,
24,Walter Abercrombie\AberWa00,1985,26,1-12,PIT,NFL,16,16,227,851,3.75,7,53.2,,24,209,8.71,2,13.1,,
25,George Wonsley\WonsGe00,1985,25,4-103,IND,NFL,16,9,138,716,5.19,6,44.8,,30,257,8.57,0,16.1,,
26,Larry Kinnebrew\KinnLa00,1985,26,6-165,CIN,NFL,12,11,170,714,4.20,9,59.5,,22,187,8.50,1,15.6,,
27,Sammy Winder\WindSa00,1985,26,5-131,DEN,NFL,14,12,199,714,3.59,8,51.0,,31,197,6.35,0,14.1,,
28,John Riggins*\RiggJo00,1985,36,1-6,WAS,NFL,12,11,176,677,3.85,8,56.4,,6,18,3.00,0,1.5,,
29,Tony Nathan\NathTo00,1985,29,3-61,MIA,NFL,16,15,143,667,4.66,5,41.7,,72,651,9.04,1,40.7,,
30,Tony Collins\CollTo01,1985,26,2-47,NWE,NFL,16,16,163,657,4.03,3,41.1,,52,549,10.56,2,34.3,,
