Rk,Player,Year,Age,Draft,Tm,Lg,G,GS,Att,Yds,Y/A,TD,Y/G,Tgt,Rec,Yds,Y/R,TD,Y/G,Ctch%,Y/Tgt
1,Jim Brown*\BrowJi00,1965,29,1-6,CLE,NFL,14,14,289,1544,5.34,17,110.3,,34,328,9.65,4,23.4,,
2,Paul Lowe\LowePa00,1965,29,,SDG,AFL,14,14,222,1121,5.05,6,80.1,,17,126,7.41,1,9.0,,
3,Cookie Gilchrist\GilcCo00,1965,30,,DEN,AFL,14,,252,954,3.79,6,68.1,,18,154,8.56,1,11.0,,
4,Clem Daniels\DaniCl00,1965,28,,OAK,AFL,14,,219,884,4.04,5,63.1,,36,568,15.78,7,40.6,,
5,Gale Sayers*\SayeGa00,1965,22,1-4 1-5AFL,CHI,NFL,14,11,166,867,5.22,14,61.9,,29,507,17.48,6,36.2,,
6,Timmy Brown\BrowTi01,1965,28,27-313,PHI,NFL,13,13,158,861,5.45,6,66.2,,50,682,13.64,3,52.5,,
7,Ken Willard\WillKe02,1965,22,1-2,SFO,NFL,14,14,189,778,4.12,5,55.6,,32,253,7.91,4,18.1,,
8,Matt Snell\SnelMa00,1965,24,4-49 1-3AFL,NYJ,AFL,13,13,169,763,4.51,4,58.7,,38,264,6.95,0,20.3,,
9,Jim Taylor*\TaylJi00,1965,30,2-15,GNB,NFL,14,14,207,734,3.55,4,52.4,,20,207,10.35,0,14.8,,
10,Bill Brown\BrowBi00,1965,27,2-20 6-45AFL,MIN,NFL,14,12,160,699,4.37,6,49.9,,41,503,12.27,1,35.9,,
11,Don Perkins\PerkDo00,1965,27,9-106,DAL,NFL,13,13,177,690,3.90,0,53.1,,14,142,10.14,0,10.9,,
12,Curtis McClinton\McClCu00,1965,26,10-110 14-110AFL,KAN,AFL,14,,175,661,3.78,6,47.2,,37,590,15.95,3,42.1,,
13,Tucker Frederickson\FredTu00,1965,22,1-1,NYG,NFL,13,10,195,659,3.38,5,50.7,,24,177,7.38,1,13.6,,
14,Mack Lee Hill\HillMa00,1965,25,,KAN,AFL,13,,125,627,5.02,2,48.2,,21,264,12.57,1,20.3,,
15,Bill Triplett\TripBi00,1965,25,6-72 9-70AFL,STL,NFL,14,14,174,617,3.55,6,44.1,,26,256,9.85,1,18.3,,
16,Bill Mathis\MathBi00,1965,27,8-88,NYJ,AFL,14,,147,604,4.11,5,43.1,,17,242,14.24,1,17.3,,
17,Tommy Mason\MasoTo00,1965,26,1-1 1-2AFL,MIN,NFL,10,9,141,597,4.23,10,59.7,,22,321,14.59,1,32.1,,
18,Wray Carlton\CarlWr00,1965,28,3-26,BUF,AFL,14,,156,592,3.79,6,42.3,,24,196,8.17,1,14.0,,
19,Dick Bass\BassDi00,1965,28,1-2,RAM,NFL,12,8,121,549,4.54,2,45.8,,21,230,10.95,2,19.2,,
20,Ode Burrell\BurrOd00,1965,26,3-36 4-30AFL,HOU,AFL,14,,130,528,4.06,3,37.7,,55,650,11.82,4,46.4,,
21,Wendell Hayes\HayeWe00,1965,25,,DEN,AFL,14,14,130,526,4.05,5,37.6,,24,294,12.25,2,21.0,,
22,Jerry Hill\HillJe00,1965,26,3-35 2-9AFL,BAL,NFL,14,14,147,516,3.51,5,36.9,,20,112,5.60,0,8.0,,
23,John David Crow\CrowJo00,1965,30,1-2,SFO,NFL,14,13,132,514,3.89,2,36.7,,28,493,17.61,7,35.2,,
24,Amos Marsh\MarsAm00,1965,26,,DET,NFL,13,10,131,495,3.78,6,38.1,,17,159,9.35,2,12.2,,
25,Earl Gros\GrosEa00,1965,25,1-14 2-15AFL,PHI,NFL,14,14,145,479,3.30,7,34.2,,29,271,9.34,2,19.4,,
26,Gene Foster\FostGe00,1965,23,15-201 10-78AFL,SDG,AFL,14,,121,469,3.88,2,33.5,,17,199,11.71,0,14.2,,
27,Lenny Moore*\MoorLe00,1965,32,1-9,BAL,NFL,12,12,133,464,3.49,5,38.7,,27,414,15.33,3,34.5,,
28,Steve Thurlow\ThurSt00,1965,23,2-25,NYG,NFL,14,11,106,440,4.15,4,31.4,,9,54,6.00,1,3.9,,
29,Willis Crenshaw\CrenWi00,1965,24,9-114 26-204AFL,STL,NFL,14,10,127,437,3.44,0,31.2,,23,232,10.09,1,16.6,,
30,Ernie Green\GreeEr01,1965,27,14-196,CLE,NFL,13,13,111,436,3.93,2,33.5,,25,298,11.92,2,22.9,,
