Rk,Player,Year,Age,Draft,Tm,Lg,G,GS,Att,Yds,Y/A,TD,Y/G,Tgt,Rec,Yds,Y/R,TD,Y/G,Ctch%,Y/Tgt
1,Barry Sanders*\SandBa00,1997,29,1-3,DET,NFL,16,16,335,2053,6.13,11,128.3,50,33,305,9.24,3,19.1,66.0%,6.10
2,Terrell Davis*\DaviTe00,1997,25,6-196,DEN,NFL,15,15,369,1750,4.74,15,116.7,58,42,287,6.83,0,19.1,72.4%,4.95
3,Jerome Bettis*\BettJe00,1997,25,1-10,PIT,NFL,15,15,375,1665,4.44,7,111.0,24,15,110,7.33,2,7.3,62.5%,4.58
4,Dorsey Levens\LeveDo00,1997,27,5-149,GNB,NFL,16,16,329,1435,4.36,7,89.7,67,53,370,6.98,5,23.1,79.1%,5.52
5,Eddie George\GeorEd00,1997,24,1-14,TEN,NFL,16,16,357,1399,3.92,6,87.4,12,7,44,6.29,1,2.8,58.3%,3.67
6,Napoleon Kaufman\KaufNa00,1997,24,1-18,OAK,NFL,16,16,272,1294,4.76,6,80.9,50,40,403,10.08,2,25.2,80.0%,8.06
7,Robert Smith\SmitRo00,1997,25,1-21,MIN,NFL,14,14,232,1266,5.46,6,90.4,44,37,197,5.32,1,14.1,84.1%,4.48
8,Curtis Martin*\MartCu00,1997,24,3-74,NWE,NFL,13,13,274,1160,4.23,4,89.2,51,41,296,7.22,1,22.8,80.4%,5.80
9,Corey Dillon\DillCo00,1997,23,2-43,CIN,NFL,16,6,233,1129,4.85,10,70.6,33,27,259,9.59,0,16.2,81.8%,7.85
10,Ricky Watters\WattRi00,1997,28,2-45,PHI,NFL,16,16,285,1110,3.89,7,69.4,73,48,440,9.17,0,27.5,65.8%,6.03
11,Adrian Murrell\MurrAd00,1997,27,5-120,NYJ,NFL,16,15,300,1086,3.62,7,67.9,41,27,106,3.93,0,6.6,65.9%,2.59
12,Emmitt Smith*\SmitEm00,1997,28,1-17,DAL,NFL,16,16,261,1074,4.11,4,67.1,48,40,234,5.85,0,14.6,83.3%,4.88
13,Marshall Faulk*\FaulMa00,1997,24,1-2,IND,NFL,16,16,264,1054,3.99,7,65.9,73,47,471,10.02,1,29.4,64.4%,6.45
14,Raymont Harris\HarrRa00,1997,27,4-114,CHI,NFL,13,13,275,1033,3.76,10,79.5,41,28,115,4.11,0,8.8,68.3%,2.80
15,Garrison Hearst\HearGa00,1997,26,1-3,SFO,NFL,13,13,234,1019,4.35,4,78.4,27,21,194,9.24,2,14.9,77.8%,7.19
16,Jamal Anderson\AndeJa00,1997,25,7-201,ATL,NFL,16,15,290,1002,3.46,7,62.6,37,29,284,9.79,3,17.8,78.4%,7.68
17,Warrick Dunn\DunnWa00,1997,22,1-12,TAM,NFL,16,10,224,978,4.37,4,61.1,56,39,462,11.85,3,28.9,69.6%,8.25
18,Gary Brown\BrowGa00,1997,28,8-214,SDG,NFL,15,14,253,945,3.74,4,63.0,30,21,137,6.52,0,9.1,70.0%,4.57
19,Karim Abdul-Jabbar\AbduKa00,1997,23,3-80,MIA,NFL,16,14,283,892,3.15,15,55.8,49,29,261,9.00,1,16.3,59.2%,5.33
20,Chris Warren\WarrCh00,1997,29,4-89,SEA,NFL,15,13,200,847,4.24,4,56.5,54,45,257,5.71,0,17.1,83.3%,4.76
21,Antowain Smith\SmitAn00,1997,25,1-23,BUF,NFL,16,0,194,840,4.33,8,52.5,47,28,177,6.32,0,11.1,59.6%,3.77
22,Natrone Means\MeanNa00,1997,25,2-41,JAX,NFL,14,11,244,823,3.37,9,58.8,20,15,104,6.93,0,7.4,75.0%,5.20
23,Fred Lane\LaneFr00,1997,22,,CAR,NFL,13,7,182,809,4.45,7,62.2,13,8,27,3.38,0,2.1,61.5%,2.08
24,Bam Morris\MorrBa00,1997,25,3-91,BAL,NFL,11,8,204,774,3.79,4,70.4,38,29,176,6.07,0,16.0,76.3%,4.63
25,Terry Allen\AlleTe00,1997,29,9-241,WAS,NFL,10,10,210,724,3.45,4,72.4,29,20,172,8.60,1,17.2,69.0%,5.93
26,Charles Way\WayxCh00,1997,25,6-206,NYG,NFL,16,16,151,698,4.62,4,43.6,51,37,304,8.22,1,19.0,72.5%,5.96
27,Lawrence Phillips\PhilLa00,1997,22,1-6,2TM,NFL,12,9,201,677,3.37,8,56.4,19,11,39,3.55,0,3.3,57.9%,2.05
28,Mike Alstott\AlstMi00,1997,24,2-35,TAM,NFL,15,15,176,665,3.78,7,44.3,33,23,178,7.74,3,11.9,69.7%,5.39
29,Thurman Thomas*\ThomTh00,1997,31,2-40,BUF,NFL,16,16,154,643,4.18,1,40.2,43,30,208,6.93,0,13.0,69.8%,4.84
30,Tyrone Wheatley\WheaTy00,1997,25,1-17,NYG,NFL,14,7,152,583,3.84,4,41.6,25,16,140,8.75,0,10.0,64.0%,5.60
