Rk,Player,Year,Age,Draft,Tm,Lg,G,GS,Att,Yds,Y/A,TD,Y/G,Tgt,Rec,Yds,Y/R,TD,Y/G,Ctch%,Y/Tgt
1,Earl Campbell*\CampEa00,1979,24,1-1,HOU,NFL,16,16,368,1697,4.61,19,106.1,,16,94,5.88,0,5.9,,
2,Walter Payton*\PaytWa00,1979,25,1-4,CHI,NFL,16,16,369,1610,4.36,14,100.6,,31,313,10.10,2,19.6,,
3,Ottis Anderson\AndeOt00,1979,22,1-8,STL,NFL,16,16,331,1605,4.85,8,100.3,,41,308,7.51,2,19.3,,
4,Wilbert Montgomery\MontWi00,1979,25,6-154,PHI,NFL,16,16,338,1512,4.47,9,94.5,,41,494,12.05,5,30.9,,
5,Mike Pruitt\PruiMi00,1979,25,1-7,CLE,NFL,16,16,264,1294,4.90,9,80.9,,41,372,9.07,2,23.3,,
6,Ricky Bell\BellRi01,1979,24,1-1,TAM,NFL,16,16,283,1263,4.46,7,78.9,,25,248,9.92,2,15.5,,
7,Chuck Muncie\MuncCh00,1979,26,1-3,NOR,NFL,16,15,238,1198,5.03,11,74.9,,40,308,7.70,0,19.3,,
8,Franco Harris*\HarrFr00,1979,29,1-13,PIT,NFL,15,15,267,1186,4.44,11,79.1,,36,291,8.08,1,19.4,,
9,John Riggins*\RiggJo00,1979,30,1-6,WAS,NFL,16,15,260,1153,4.43,9,72.1,,28,163,5.82,3,10.2,,
10,Wendell Tyler\TyleWe00,1979,24,3-79,RAM,NFL,16,12,218,1109,5.09,9,69.3,,32,308,9.63,1,19.3,,
11,Tony Dorsett*\DorsTo00,1979,25,1-2,DAL,NFL,14,14,250,1107,4.43,6,79.1,,45,375,8.33,1,26.8,,
12,William Andrews\AndrWi00,1979,24,3-79,ATL,NFL,15,15,239,1023,4.28,3,68.2,,39,309,7.92,2,20.6,,
13,Clark Gaines\GainCl00,1979,25,,NYJ,NFL,16,9,186,905,4.87,0,56.6,,29,219,7.55,0,13.7,,
14,Joe Washington\WashJo00,1979,26,1-4,BAL,NFL,15,15,242,884,3.65,4,58.9,,82,750,9.15,3,50.0,,
15,Pete Johnson\JohnPe00,1979,25,2-49,CIN,NFL,16,13,243,865,3.56,14,54.1,,24,154,6.42,1,9.6,,
16,Larry Csonka*\CsonLa00,1979,33,1-8,MIA,NFL,16,16,220,837,3.80,12,52.3,,16,75,4.69,1,4.7,,
17,Mark van Eeghen\VanEMa00,1979,27,3-75,OAK,NFL,16,16,223,818,3.67,7,51.1,,51,474,9.29,2,29.6,,
18,Sherman Smith\SmitSh00,1979,25,2-58,SEA,NFL,16,15,194,775,3.99,11,48.4,,48,499,10.40,4,31.2,,
19,Scott Dierking\DierSc00,1979,24,4-90,NYJ,NFL,16,14,186,767,4.12,3,47.9,,10,121,12.10,0,7.6,,
20,Ted McKnight\McKnTe00,1979,25,2-57,KAN,NFL,15,14,153,755,4.93,8,50.3,,38,226,5.95,0,15.1,,
21,Clarence Williams\WillCl01,1979,24,5-124,SDG,NFL,16,16,200,752,3.76,12,47.0,,51,352,6.90,0,22.0,,
22,Tony Galbreath\GalbTo00,1979,25,2-32,NOR,NFL,15,15,189,708,3.75,9,47.2,,58,484,8.34,1,32.3,,
23,Rickey Young\YounRi00,1979,26,7-164,MIN,NFL,16,16,188,708,3.77,3,44.3,,72,519,7.21,4,32.4,,
24,Delvin Williams\WillDe01,1979,28,2-49,MIA,NFL,14,13,184,703,3.82,3,50.2,,21,175,8.33,1,12.5,,
25,Billy Taylor\TaylBi00,1979,23,4-90,NYG,NFL,16,9,198,700,3.54,7,43.8,,28,253,9.04,4,15.8,,
26,Jerry Eckwood\EckwJe00,1979,25,3-60,TAM,NFL,16,10,194,690,3.56,2,43.1,,22,268,12.18,0,16.8,,
27,Archie Griffin\GrifAr00,1979,25,1-24,CIN,NFL,16,15,140,688,4.91,0,43.0,,43,417,9.70,2,26.1,,
28,Dexter Bussey\BussDe00,1979,27,3-65,DET,NFL,16,10,144,625,4.34,1,39.1,,15,102,6.80,0,6.4,,
29,Cullen Bryant\BryaCu00,1979,28,2-31,RAM,NFL,16,16,177,619,3.50,5,38.7,,31,227,7.32,0,14.2,,
30,Doug Kotar\KotaDo00,1979,28,,NYG,NFL,16,14,160,616,3.85,3,38.5,,25,230,9.20,0,14.4,,
