Rk,Player,Year,Age,Draft,Tm,Lg,G,GS,Att,Yds,Y/A,TD,Y/G,Tgt,Rec,Yds,Y/R,TD,Y/G,Ctch%,Y/Tgt
1,Jim Taylor*\TaylJi00,1962,27,2-15,GNB,NFL,14,14,272,1474,5.42,19,105.3,,22,106,4.82,0,7.6,,
2,John Henry Johnson*\JohnJo02,1962,33,2-18,PIT,NFL,14,14,251,1141,4.55,7,81.5,,32,226,7.06,2,16.1,,
3,Cookie Gilchrist\GilcCo00,1962,27,,BUF,AFL,14,,214,1096,5.12,13,78.3,,24,319,13.29,2,22.8,,
4,Abner Haynes\HaynAb00,1962,25,5-55,DTX,AFL,14,,221,1049,4.75,13,74.9,,39,573,14.69,6,40.9,,
5,Dick Bass\BassDi00,1962,25,1-2,RAM,NFL,14,13,196,1033,5.27,6,73.8,,30,262,8.73,2,18.7,,
6,Charley Tolar\TolaCh00,1962,25,27-319,HOU,AFL,14,,244,1012,4.15,7,72.3,,30,251,8.37,1,17.9,,
7,Jim Brown*\BrowJi00,1962,26,1-6,CLE,NFL,14,14,230,996,4.33,13,71.1,,47,517,11.00,5,36.9,,
8,Don Perkins\PerkDo00,1962,24,9-106,DAL,NFL,14,14,222,945,4.26,7,67.5,,13,104,8.00,0,7.4,,
9,J.D. Smith\SmitJ.00,1962,30,15-179,SFO,NFL,14,14,258,907,3.52,6,64.8,,21,197,9.38,1,14.1,,
10,Amos Marsh\MarsAm00,1962,23,,DAL,NFL,14,14,144,802,5.57,6,57.3,,35,467,13.34,2,33.4,,
11,Clem Daniels\DaniCl00,1962,25,,OAK,AFL,14,,161,766,4.76,7,54.7,,24,318,13.25,1,22.7,,
12,John David Crow\CrowJo00,1962,27,1-2,STL,NFL,14,14,192,751,3.91,14,53.6,,23,246,10.70,3,17.6,,
13,Alex Webster\WebsAl00,1962,31,11-123,NYG,NFL,14,14,207,743,3.59,5,53.1,,47,477,10.15,4,34.1,,
14,Tommy Mason\MasoTo00,1962,23,1-1 1-2AFL,MIN,NFL,14,11,167,740,4.43,2,52.9,,36,603,16.75,6,43.1,,
15,Curtis McClinton\McClCu00,1962,23,10-110 14-110AFL,DTX,AFL,14,,111,604,5.44,2,43.1,,29,333,11.48,0,23.8,,
16,Keith Lincoln\LincKe00,1962,23,5-61 2-15AFL,SDG,AFL,14,,117,574,4.91,2,41.0,,16,214,13.38,1,15.3,,
17,Ron Burton\BurtRo00,1962,26,1-9,BOS,AFL,14,,134,548,4.09,2,39.1,,40,461,11.53,4,32.9,,
18,Timmy Brown\BrowTi01,1962,25,27-313,PHI,NFL,14,14,137,545,3.98,5,38.9,,52,849,16.33,6,60.6,,
19,Dick Christy\ChriDi00,1962,27,3-27,NYT,AFL,14,,114,535,4.69,3,38.2,,62,538,8.68,3,38.4,,
20,Wray Carlton\CarlWr00,1962,25,3-26,BUF,AFL,11,,94,530,5.64,2,48.2,,7,54,7.71,0,4.9,,
21,Billy Ray Barnes\BarnBi00,1962,27,2-19,WAS,NFL,10,10,159,492,3.09,3,49.2,,14,220,15.71,0,22.0,,
22,Dan Lewis\LewiDa02,1962,26,6-73,DET,NFL,12,8,120,488,4.07,6,40.7,,16,158,9.88,1,13.2,,
23,Tom Watkins\WatkTo00,1962,25,15-177 8-57AFL,DET,NFL,13,6,113,485,4.29,3,37.3,,12,85,7.08,0,6.5,,
24,Billy Kilmer\KilmBi00,1962,23,1-11 5-39AFL,SFO,NFL,12,10,93,478,5.14,5,39.8,,16,152,9.50,1,12.7,,
25,Billy Cannon\CannBi00,1962,25,1-1,HOU,AFL,14,,147,474,3.22,7,33.9,,32,451,14.09,6,32.2,,
26,Prentice Gautt\GautPr00,1962,24,2-19,STL,NFL,13,7,114,470,4.12,2,36.2,,16,240,15.00,0,18.5,,
27,Lenny Moore*\MoorLe00,1962,29,1-9,BAL,NFL,10,7,106,470,4.43,2,47.0,,18,215,11.94,2,21.5,,
28,Joe Womack\WomaJo00,1962,26,13-150,PIT,NFL,11,10,128,468,3.66,5,42.5,,6,57,9.50,0,5.2,,
29,Phil King\KingPh00,1962,26,1-12,NYG,NFL,14,6,108,460,4.26,2,32.9,,15,186,12.40,0,13.3,,
30,Jim Crawford\CrawJi00,1962,27,14-163,BOS,AFL,14,,139,459,3.30,2,32.8,,22,224,10.18,2,16.0,,
