Rk,Player,Year,Age,Draft,Tm,Lg,G,GS,Att,Yds,Y/A,TD,Y/G,Tgt,Rec,Yds,Y/R,TD,Y/G,Ctch%,Y/Tgt
1,Emmitt Smith*\SmitEm00,1991,22,1-17,DAL,NFL,16,16,365,1563,4.28,12,97.7,,49,258,5.27,1,16.1,,
2,Barry Sanders*\SandBa00,1991,23,1-3,DET,NFL,15,15,342,1548,4.53,16,103.2,,41,307,7.49,1,20.5,,
3,Thurman Thomas*\ThomTh00,1991,25,2-40,BUF,NFL,15,15,288,1407,4.89,7,93.8,,62,631,10.18,5,42.1,,
4,Rodney Hampton\HampRo00,1991,22,1-24,NYG,NFL,14,14,256,1059,4.14,10,75.6,,43,283,6.58,0,20.2,,
5,Earnest Byner\ByneEa00,1991,29,10-280,WAS,NFL,16,16,274,1048,3.82,5,65.5,,34,308,9.06,0,19.3,,
6,Gaston Green\GreeGa00,1991,25,1-14,DEN,NFL,13,12,261,1037,3.97,4,79.8,,13,78,6.00,0,6.0,,
7,Christian Okoye\OkoyCh00,1991,30,2-35,KAN,NFL,14,12,225,1031,4.58,9,73.6,,3,34,11.33,0,2.4,,
8,Leonard Russell\RussLe00,1991,22,1-14,NWE,NFL,16,15,266,959,3.61,4,59.9,,18,81,4.50,0,5.1,,
9,Mark Higgs\HiggMa00,1991,25,8-205,MIA,NFL,14,10,231,905,3.92,4,64.6,,11,80,7.27,0,5.7,,
10,Marion Butts\ButtMa00,1991,25,7-183,SDG,NFL,16,8,193,834,4.32,6,52.1,,10,91,9.10,1,5.7,,
11,Herschel Walker\WalkHe00,1991,29,5-114,MIN,NFL,15,15,198,825,4.17,10,55.0,,33,204,6.18,0,13.6,,
12,Rod Bernstine\BernRo00,1991,26,1-24,SDG,NFL,13,8,159,766,4.82,8,58.9,,11,124,11.27,0,9.5,,
13,Reggie Cobb\CobbRe00,1991,23,2-30,TAM,NFL,16,11,196,752,3.84,7,47.0,,15,111,7.40,0,6.9,,
14,Neal Anderson\AndeNe00,1991,27,1-27,CHI,NFL,13,12,210,747,3.56,6,57.5,,47,368,7.83,3,28.3,,
15,John Williams\WillJo00,1991,27,1-15,SEA,NFL,16,16,188,741,3.94,4,46.3,,61,499,8.18,1,31.2,,
16,Harold Green\GreeHa00,1991,23,2-38,CIN,NFL,14,10,158,731,4.63,2,52.2,,16,136,8.50,0,9.7,,
17,Blair Thomas\ThomBl00,1991,24,1-2,NYJ,NFL,16,12,189,728,3.85,3,45.5,,30,195,6.50,1,12.2,,
18,Kevin Mack\MackKe00,1991,29,1-11,CLE,NFL,14,11,197,726,3.69,8,51.9,,40,255,6.38,2,18.2,,
19,Allen Pinkett\PinkAl00,1991,27,3-61,HOU,NFL,16,16,171,720,4.21,9,45.0,,29,228,7.86,1,14.3,,
20,Robert Delpino\DelpRo00,1991,26,5-117,RAM,NFL,16,15,214,688,3.21,9,43.0,,55,617,11.22,1,38.6,,
21,Barry Word\WordBa00,1991,28,3-62,KAN,NFL,16,3,160,684,4.28,4,42.8,,2,13,6.50,0,0.8,,
22,Ricky Ervins\ErviRi00,1991,23,3-76,WAS,NFL,15,0,145,680,4.69,3,45.3,,16,181,11.31,1,12.1,,
23,Brad Baxter\BaxtBr00,1991,24,11-303,NYJ,NFL,16,14,184,666,3.62,11,41.6,,12,124,10.33,0,7.8,,
24,Johnny Johnson\JohnJo00,1991,23,7-169,PHO,NFL,15,13,196,666,3.40,4,44.4,,29,225,7.76,2,15.0,,
25,Kenneth Davis\DaviKe00,1991,29,2-41,BUF,NFL,16,1,129,624,4.84,4,39.0,,20,118,5.90,1,7.4,,
26,Merril Hoge\HogeMe00,1991,26,10-261,PIT,NFL,16,16,165,610,3.70,2,38.1,,49,379,7.73,1,23.7,,
27,Roger Craig\CraiRo00,1991,31,2-49,RAI,NFL,15,13,162,590,3.64,1,39.3,,17,136,8.00,0,9.1,,
28,James Brooks\BrooJa00,1991,33,1-24,CIN,NFL,15,12,152,571,3.76,2,38.1,,40,348,8.70,2,23.2,,
29,Terry Allen\AlleTe00,1991,23,9-241,MIN,NFL,15,6,120,563,4.69,2,37.5,,6,49,8.17,1,3.3,,
30,Keith Henderson\HendKe00,1991,25,3-84,SFO,NFL,14,1,137,561,4.09,2,40.1,,30,303,10.10,0,21.6,,
