Rk,Player,Year,Age,Draft,Tm,Lg,G,GS,Att,Yds,Y/A,TD,Y/G,Tgt,Rec,Yds,Y/R,TD,Y/G,Ctch%,Y/Tgt
1,Adrian Peterson\PeteAd01,2012,27,1-7,MIN,NFL,16,16,348,2097,6.03,12,131.1,51,40,217,5.43,1,13.6,78.4%,4.25
2,Alfred Morris\MorrAl00,2012,24,6-173,WAS,NFL,16,16,335,1613,4.81,13,100.8,16,11,77,7.00,0,4.8,68.8%,4.81
3,Marshawn Lynch\LyncMa00,2012,26,1-12,SEA,NFL,16,15,315,1590,5.05,11,99.4,30,23,196,8.52,1,12.3,76.7%,6.53
4,Jamaal Charles\CharJa00,2012,26,3-73,KAN,NFL,16,15,285,1509,5.29,5,94.3,49,35,236,6.74,1,14.8,71.4%,4.82
5,Doug Martin\MartDo00,2012,23,1-31,TAM,NFL,16,16,319,1454,4.56,11,90.9,70,49,472,9.63,1,29.5,70.0%,6.74
6,Arian Foster\FostAr00,2012,26,,HOU,NFL,16,16,351,1424,4.06,15,89.0,58,40,217,5.43,2,13.6,69.0%,3.74
7,Stevan Ridley\RidlSt00,2012,23,3-73,NWE,NFL,16,12,290,1263,4.36,12,78.9,14,6,51,8.50,0,3.2,42.9%,3.64
8,C.J. Spiller\SpilC.00,2012,25,1-9,BUF,NFL,16,9,207,1244,6.01,6,77.8,57,43,459,10.67,2,28.7,75.4%,8.05
9,Chris Johnson\JohnCh04,2012,27,1-24,TEN,NFL,16,15,276,1243,4.50,6,77.7,49,36,232,6.44,0,14.5,73.5%,4.73
10,Frank Gore\GoreFr00,2012,29,3-65,SFO,NFL,16,16,258,1214,4.71,8,75.9,36,28,234,8.36,1,14.6,77.8%,6.50
11,Ray Rice\RiceRa00,2012,25,2-55,BAL,NFL,16,16,257,1143,4.45,9,71.4,83,61,478,7.84,1,29.9,73.5%,5.76
12,Matt Forte\FortMa00,2012,27,2-44,CHI,NFL,15,15,248,1094,4.41,5,72.9,59,44,340,7.73,1,22.7,74.6%,5.76
13,BenJarvus Green-Ellis\GreeBe00,2012,27,,CIN,NFL,15,15,278,1094,3.94,6,72.9,30,22,104,4.73,0,6.9,73.3%,3.47
14,Shonn Greene\GreeSh00,2012,27,3-65,NYJ,NFL,16,14,276,1063,3.85,8,66.4,30,19,151,7.95,0,9.4,63.3%,5.03
15,Steven Jackson\JackSt00,2012,29,1-24,STL,NFL,16,16,258,1045,4.05,4,65.3,53,38,321,8.45,0,20.1,71.7%,6.06
16,Ahmad Bradshaw\BradAh00,2012,26,7-250,NYG,NFL,14,12,221,1015,4.59,6,72.5,31,23,245,10.65,0,17.5,74.2%,7.90
17,Reggie Bush\BushRe00,2012,27,1-2,MIA,NFL,16,16,227,986,4.34,6,61.6,52,35,292,8.34,2,18.3,67.3%,5.62
18,Trent Richardson\RichTr00,2012,22,1-3,CLE,NFL,15,15,267,950,3.56,11,63.3,70,51,367,7.20,1,24.5,72.9%,5.24
19,LeSean McCoy\McCoLe01,2012,24,2-53,PHI,NFL,12,12,200,840,4.20,2,70.0,67,54,373,6.91,3,31.1,80.6%,5.57
20,Vick Ballard\BallVi00,2012,22,5-170,IND,NFL,16,12,211,814,3.86,2,50.9,27,17,152,8.94,1,9.5,63.0%,5.63
21,Michael Turner\TurnMi00,2012,30,5-154,ATL,NFL,16,16,222,800,3.60,10,50.0,30,19,128,6.74,1,8.0,63.3%,4.27
22,Mikel Leshoure\LeshMi00,2012,22,2-57,DET,NFL,14,14,215,798,3.71,9,57.0,49,34,214,6.29,0,15.3,69.4%,4.37
23,DeAngelo Williams\WillDe02,2012,29,1-27,CAR,NFL,16,10,173,737,4.26,5,46.1,20,13,187,14.38,2,11.7,65.0%,9.35
24,Willis McGahee\McGaWi00,2012,31,1-23,DEN,NFL,10,9,167,731,4.38,4,73.1,33,26,221,8.50,0,22.1,78.8%,6.70
25,Ryan Mathews\MathRy00,2012,25,1-12,SDG,NFL,12,9,184,707,3.84,1,58.9,56,39,252,6.46,0,21.0,69.6%,4.50
26,Darren McFadden\McFaDa00,2012,25,1-4,OAK,NFL,12,12,216,707,3.27,2,58.9,63,42,258,6.14,1,21.5,66.7%,4.10
27,DeMarco Murray\MurrDe00,2012,24,3-71,DAL,NFL,10,10,161,663,4.12,4,66.3,42,35,251,7.17,0,25.1,83.3%,5.98
28,Jonathan Dwyer\DwyeJo00,2012,23,6-188,PIT,NFL,13,6,156,623,3.99,2,47.9,25,18,106,5.89,0,8.2,72.0%,4.24
29,Mark Ingram\IngrMa01,2012,23,1-28,NOR,NFL,16,5,156,602,3.86,5,37.6,10,6,29,4.83,0,1.8,60.0%,2.90
30,Bryce Brown\BrowBr02,2012,21,7-229,PHI,NFL,16,4,115,564,4.90,4,35.3,19,13,56,4.31,0,3.5,68.4%,2.95
