Rk,Player,Year,Age,Draft,Tm,Lg,G,GS,Att,Yds,Y/A,TD,Y/G,Tgt,Rec,Yds,Y/R,TD,Y/G,Ctch%,Y/Tgt
1,Jim Brown*\BrowJi00,1958,22,1-6,CLE,NFL,12,12,257,1527,5.94,17,127.3,,16,138,8.63,1,11.5,,
2,Alan Ameche\AmecAl00,1958,25,1-3,BAL,NFL,12,12,171,791,4.63,8,65.9,,13,81,6.23,1,6.8,,
3,Joe Perry*\PerrJo00,1958,31,,SFO,NFL,12,12,125,758,6.06,4,63.2,,23,218,9.48,1,18.2,,
4,Tom Tracy\TracTo00,1958,24,5-50,PIT,NFL,12,8,169,714,4.22,5,59.5,,32,535,16.72,4,44.6,,
5,Jon Arnett\ArneJo00,1958,23,1-2,RAM,NFL,12,12,133,683,5.14,6,56.9,,35,494,14.11,1,41.2,,
6,Rick Casares\CasaRi00,1958,27,2-18,CHI,NFL,12,12,176,651,3.70,2,54.3,,32,290,9.06,1,24.2,,
7,Willie Galimore\GaliWi00,1958,23,5-58,CHI,NFL,12,1,130,619,4.76,8,51.6,,8,151,18.88,3,12.6,,
8,Lenny Moore*\MoorLe00,1958,25,1-9,BAL,NFL,12,12,82,598,7.29,7,49.8,,50,938,18.76,7,78.2,,
9,Billy Ray Barnes\BarnBi00,1958,23,2-19,PHI,NFL,12,12,156,551,3.53,7,45.9,,35,423,12.09,0,35.3,,
10,Ollie Matson*\MatsOl00,1958,28,1-3,CRD,NFL,12,12,129,505,3.91,5,42.1,,33,465,14.09,3,38.8,,
11,Johnny Olszewski\OlszJo00,1958,28,1-4,WAS,NFL,10,9,98,505,5.15,2,50.5,,11,102,9.27,0,10.2,,
12,Bobby Mitchell*\MitcBo00,1958,23,7-84,CLE,NFL,12,7,80,500,6.25,1,41.7,,16,131,8.19,3,10.9,,
13,Don Bosseler\BossDo00,1958,22,1-9,WAS,NFL,10,4,109,475,4.36,4,47.5,,14,101,7.21,0,10.1,,
14,Tommy Wilson\WilsTo00,1958,26,,RAM,NFL,12,5,73,475,6.51,9,39.6,,9,101,11.22,1,8.4,,
15,Frank Gifford*\GiffFr00,1958,28,1-11,NYG,NFL,10,10,115,468,4.07,8,46.8,,29,330,11.38,2,33.0,,
16,Mel Triplett\TripMe00,1958,27,5-56,NYG,NFL,12,10,118,466,3.95,1,38.8,,7,110,15.71,0,9.2,,
17,Hugh McElhenny*\McElHu00,1958,30,1-9,SFO,NFL,12,12,113,451,3.99,6,37.6,,31,366,11.81,2,30.5,,
18,Joe Marconi\MarcJo00,1958,24,1-6,RAM,NFL,12,8,89,428,4.81,1,35.7,,10,87,8.70,0,7.3,,
19,Alex Webster\WebsAl00,1958,27,11-123,NYG,NFL,9,8,100,398,3.98,3,44.2,,25,279,11.16,3,31.0,,
20,L.G. Dupre\DuprL.00,1958,26,3-27,BAL,NFL,10,10,95,390,4.11,3,39.0,,13,111,8.54,0,11.1,,
21,Clarence Peaks\PeakCl00,1958,23,1-7,PHI,NFL,11,11,115,386,3.36,3,35.1,,29,248,8.55,2,22.5,,
22,Tank Younger\YounTa00,1958,30,,PIT,NFL,12,8,88,344,3.91,3,28.7,,16,188,11.75,0,15.7,,
23,Ed Sutton\SuttEd00,1958,23,3-33,WAS,NFL,10,8,93,335,3.60,3,33.5,,6,112,18.67,0,11.2,,
24,Phil King\KingPh00,1958,22,1-12,NYG,NFL,12,8,83,316,3.81,1,26.3,,11,132,12.00,0,11.0,,
25,Paul Hornung*\HornPa00,1958,23,1-1,GNB,NFL,12,10,69,310,4.49,2,25.8,,15,137,9.13,0,11.4,,
26,Lew Carpenter\CarpLe00,1958,26,8-97,CLE,NFL,12,4,73,308,4.22,2,25.7,,5,47,9.40,0,3.9,,
27,Howie Ferguson\FergHo00,1958,28,,GNB,NFL,7,2,59,268,4.54,1,38.3,,12,121,10.08,0,17.3,,
28,John Henry Johnson*\JohnJo02,1958,29,2-18,DET,NFL,9,8,56,254,4.54,0,28.2,,7,60,8.57,0,6.7,,
29,Jim Taylor*\TaylJi00,1958,23,2-15,GNB,NFL,12,2,52,247,4.75,1,20.6,,4,72,18.00,1,6.0,,
30,Don McIlhenny\McIlDo00,1958,24,3-27,GNB,NFL,12,7,74,239,3.23,1,19.9,,20,154,7.70,1,12.8,,
