Rk,Player,Year,Age,Draft,Tm,Lg,G,GS,Att,Yds,Y/A,TD,Y/G,Tgt,Rec,Yds,Y/R,TD,Y/G,Ctch%,Y/Tgt
1,Jim Brown*\BrowJi00,1957,21,1-6,CLE,NFL,12,12,202,942,4.66,9,78.5,,16,55,3.44,1,4.6,,
2,Rick Casares\CasaRi00,1957,26,2-18,CHI,NFL,12,12,204,700,3.43,6,58.3,,25,225,9.00,0,18.8,,
3,Don Bosseler\BossDo00,1957,21,1-9,WAS,NFL,12,10,167,673,4.03,7,56.1,,19,152,8.00,0,12.7,,
4,John Henry Johnson*\JohnJo02,1957,28,2-18,DET,NFL,12,10,129,621,4.81,5,51.8,,20,141,7.05,0,11.8,,
5,Tommy Wilson\WilsTo00,1957,25,,RAM,NFL,11,7,127,616,4.85,3,56.0,,7,95,13.57,1,8.6,,
6,Ollie Matson*\MatsOl00,1957,27,1-3,CRD,NFL,12,11,134,577,4.31,6,48.1,,20,451,22.55,3,37.6,,
7,Willie Galimore\GaliWi00,1957,22,5-58,CHI,NFL,12,12,127,538,4.24,5,44.8,,15,201,13.40,2,16.8,,
8,Billy Wells\WellBi00,1957,26,5-56,2TM,NFL,11,8,154,532,3.45,0,48.4,,14,89,6.36,0,8.1,,
9,Billy Ray Barnes\BarnBi00,1957,22,2-19,PHI,NFL,12,12,143,529,3.70,1,44.1,,19,212,11.16,1,17.7,,
10,Frank Gifford*\GiffFr00,1957,27,1-11,NYG,NFL,12,12,136,528,3.88,5,44.0,,41,588,14.34,4,49.0,,
11,Clarence Peaks\PeakCl00,1957,22,1-7,PHI,NFL,12,12,125,495,3.96,1,41.3,,11,99,9.00,0,8.3,,
12,Alan Ameche\AmecAl00,1957,24,1-3,BAL,NFL,12,12,144,493,3.42,5,41.1,,15,137,9.13,2,11.4,,
13,Lenny Moore*\MoorLe00,1957,24,1-9,BAL,NFL,12,12,98,488,4.98,3,40.7,,40,687,17.18,7,57.3,,
14,Joe Marconi\MarcJo00,1957,23,1-6,RAM,NFL,10,3,104,481,4.63,3,48.1,,16,171,10.69,1,17.1,,
15,Hugh McElhenny*\McElHu00,1957,29,1-9,SFO,NFL,12,10,102,478,4.69,1,39.8,,37,458,12.38,2,38.2,,
16,Alex Webster\WebsAl00,1957,26,11-123,NYG,NFL,11,10,135,478,3.54,5,43.5,,30,330,11.00,1,30.0,,
17,Joe Perry*\PerrJo00,1957,30,,SFO,NFL,10,5,97,454,4.68,3,45.4,,15,130,8.67,0,13.0,,
18,Jim Podoley\PodoJi00,1957,24,4-40,WAS,NFL,12,12,114,442,3.88,2,36.8,,27,554,20.52,4,46.2,,
19,Ed Sutton\SuttEd00,1957,22,3-33,WAS,NFL,12,8,108,407,3.77,5,33.9,,2,32,16.00,1,2.7,,
20,Tank Younger\YounTa00,1957,29,,RAM,NFL,12,9,96,401,4.18,3,33.4,,8,61,7.63,0,5.1,,
21,Don McIlhenny\McIlDo00,1957,23,3-27,GNB,NFL,12,7,100,384,3.84,1,32.0,,18,210,11.67,2,17.5,,
22,L.G. Dupre\DuprL.00,1957,25,3-27,BAL,NFL,12,11,101,375,3.71,2,31.3,,32,339,10.59,2,28.3,,
23,Chet Hanulak\HanuCh20,1957,24,2-24,CLE,NFL,12,8,125,375,3.00,3,31.3,,3,38,12.67,0,3.2,,
24,Jon Arnett\ArneJo00,1957,22,1-2,RAM,NFL,12,9,86,347,4.03,2,28.9,,18,322,17.89,3,26.8,,
25,Gene Babb\BabbGe20,1957,23,19-224,SFO,NFL,12,9,102,330,3.24,3,27.5,,20,141,7.05,0,11.8,,
26,Paul Hornung*\HornPa00,1957,22,1-1,GNB,NFL,12,7,60,319,5.32,3,26.6,,6,34,5.67,0,2.8,,
27,Lew Carpenter\CarpLe00,1957,25,8-97,CLE,NFL,10,4,83,315,3.80,4,31.5,,5,65,13.00,0,6.5,,
28,Bobby Epps\EppsBo20,1957,25,14-161,NYG,NFL,12,9,63,286,4.54,0,23.8,,8,81,10.13,0,6.8,,
29,Gene Gedman\GedmGe20,1957,25,2-25,DET,NFL,10,10,67,278,4.15,3,27.8,,10,135,13.50,0,13.5,,
30,Johnny Olszewski\OlszJo00,1957,27,1-4,CRD,NFL,11,11,83,271,3.27,2,24.6,,3,36,12.00,0,3.3,,
