Rk,Player,Year,Age,Draft,Tm,Lg,G,GS,Att,Yds,Y/A,TD,Y/G,Tgt,Rec,Yds,Y/R,TD,Y/G,Ctch%,Y/Tgt
1,O.J. Simpson*\SimpO.00,1973,26,1-1,BUF,NFL,14,14,332,2003,6.03,12,143.1,,6,70,11.67,0,5.0,,
2,John Brockington\BrocJo00,1973,25,1-9,GNB,NFL,14,14,265,1144,4.32,3,81.7,,16,128,8.00,0,9.1,,
3,Calvin Hill\HillCa00,1973,26,1-24,DAL,NFL,14,14,273,1142,4.18,6,81.6,,32,290,9.06,0,20.7,,
4,Lawrence McCutcheon\McCuLa00,1973,23,3-70,RAM,NFL,12,12,210,1097,5.22,2,91.4,,30,289,9.63,3,24.1,,
5,Larry Csonka*\CsonLa00,1973,27,1-8,MIA,NFL,14,14,219,1003,4.58,5,71.6,,7,22,3.14,0,1.6,,
6,Dave Hampton\HampDa00,1973,26,9-220,ATL,NFL,14,14,263,997,3.79,4,71.2,,25,273,10.92,1,19.5,,
7,Essex Johnson\JohnEs00,1973,27,6-156,CIN,NFL,14,14,195,997,5.11,4,71.2,,28,356,12.71,3,25.4,,
8,Boobie Clark\ClarBo00,1973,23,12-302,CIN,NFL,14,14,254,988,3.89,8,70.6,,45,347,7.71,0,24.8,,
9,Floyd Little*\LittFl00,1973,31,1-6,DEN,NFL,14,13,256,979,3.82,12,69.9,,41,423,10.32,1,30.2,,
10,Tom Sullivan\SullTo00,1973,23,15-378,PHI,NFL,13,13,217,968,4.46,4,74.5,,50,322,6.44,1,24.8,,
11,Lydell Mitchell\MitcLy00,1973,24,2-48,BAL,NFL,14,11,253,963,3.81,2,68.8,,17,113,6.65,0,8.1,,
12,Mercury Morris\MorrMe00,1973,26,3-63,MIA,NFL,13,10,149,954,6.40,10,73.4,,4,51,12.75,0,3.9,,
13,Marv Hubbard\HubbMa00,1973,27,11-277,OAK,NFL,14,14,193,903,4.68,6,64.5,,15,116,7.73,0,8.3,,
14,Ron Johnson\JohnRo02,1973,26,1-20,NYG,NFL,12,11,260,902,3.47,6,75.2,,32,377,11.78,3,31.4,,
15,Larry Brown\BrowLa01,1973,26,8-191,WAS,NFL,14,14,273,860,3.15,8,61.4,,40,482,12.05,6,34.4,,
16,Jim Bertelsen\BertJi00,1973,23,2-30,RAM,NFL,14,14,206,854,4.15,4,61.0,,19,267,14.05,1,19.1,,
17,Emerson Boozer\BoozEm00,1973,30,7-98 6-46AFL,NYJ,NFL,13,12,182,831,4.57,3,63.9,,22,130,5.91,3,10.0,,
18,Chuck Foreman\ForeCh00,1973,23,1-12,MIN,NFL,12,10,182,801,4.40,4,66.8,,37,362,9.78,2,30.2,,
19,Ed Podolak\PodoEd00,1973,26,2-48,KAN,NFL,14,13,210,721,3.43,3,51.5,,55,445,8.09,0,31.8,,
20,Altie Taylor\TaylAl00,1973,26,2-34,DET,NFL,13,13,176,719,4.09,5,55.3,,27,252,9.33,0,19.4,,
21,Joe Dawkins\DawkJo00,1973,25,10-249,DEN,NFL,14,14,160,706,4.41,2,50.4,,30,329,10.97,0,23.5,,
22,Franco Harris*\HarrFr00,1973,23,1-13,PIT,NFL,12,8,188,698,3.71,3,58.2,,10,69,6.90,0,5.8,,
23,Charlie Smith\SmitCh01,1973,27,4-110,OAK,NFL,14,14,173,682,3.94,4,48.7,,28,260,9.29,1,18.6,,
24,Donny Anderson\AndeDo00,1973,30,1-7,STL,NFL,14,13,167,679,4.07,10,48.5,,41,409,9.98,3,29.2,,
25,Jess Phillips\PhilJe00,1973,26,4-84,NOR,NFL,14,14,198,663,3.35,0,47.4,,22,169,7.68,0,12.1,,
26,Carl Garrett\GarrCa00,1973,26,3-58,CHI,NFL,13,11,175,655,3.74,5,50.4,,23,292,12.70,0,22.5,,
27,Terry Metcalf\MetcTe00,1973,22,3-63,STL,NFL,12,10,148,628,4.24,2,52.3,,37,316,8.54,0,26.3,,
28,Clarence Davis\DaviCl00,1973,24,4-97,OAK,NFL,14,0,116,609,5.25,4,43.5,,7,76,10.86,0,5.4,,
29,Cid Edwards\EdwaCi00,1973,30,,SDG,NFL,13,12,133,609,4.58,1,46.8,,25,164,6.56,0,12.6,,
30,Fred Willis\WillFr00,1973,26,4-93,HOU,NFL,14,14,171,579,3.39,4,41.4,,57,371,6.51,1,26.5,,
